DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
5/7/2013 15:07:28,5/7/2013,15:07:28,0.98,23.47,36.20,956.41,178
5/7/2013 15:07:43,5/7/2013,15:07:43,1.13,23.47,35.29,956.45,167
5/7/2013 15:07:58,5/7/2013,15:07:58,1.43,23.25,35.79,956.56,147
5/7/2013 15:08:13,5/7/2013,15:08:13,2.26,22.79,34.00,956.63,157
5/7/2013 15:08:28,5/7/2013,15:08:28,1.69,22.87,34.70,956.70,133
5/7/2013 15:08:43,5/7/2013,15:08:43,1.58,22.92,35.40,956.71,194
5/7/2013 15:08:58,5/7/2013,15:08:58,1.79,22.57,34.59,956.73,173
5/7/2013 15:09:13,5/7/2013,15:09:13,1.61,22.50,35.50,956.76,173
5/7/2013 15:09:28,5/7/2013,15:09:28,2.31,22.17,35.20,956.76,163
5/7/2013 15:09:43,5/7/2013,15:09:43,1.54,22.29,36.79,956.78,172
5/7/2013 15:09:58,5/7/2013,15:09:58,0.81,22.45,35.79,956.79,171
5/7/2013 15:10:13,5/7/2013,15:10:13,0.00,22.92,37.29,956.78,202
5/7/2013 15:10:28,5/7/2013,15:10:28,0.86,23.07,41.20,956.77,141
5/7/2013 15:10:43,5/7/2013,15:10:43,0.47,23.07,39.40,956.75,129
5/7/2013 15:10:58,5/7/2013,15:10:58,0.11,23.20,37.59,956.73,143
5/7/2013 15:11:13,5/7/2013,15:11:13,0.46,23.07,37.70,956.71,118
5/7/2013 15:11:28,5/7/2013,15:11:28,0.00,23.00,35.00,956.70,169
5/7/2013 15:11:43,5/7/2013,15:11:43,0.17,22.77,36.29,956.70,163
5/7/2013 15:11:58,5/7/2013,15:11:58,0.67,22.85,37.29,956.70,196
5/7/2013 15:12:13,5/7/2013,15:12:13,0.00,23.14,39.09,956.71,147
5/7/2013 15:12:28,5/7/2013,15:12:28,0.00,23.27,39.40,956.72,164
5/7/2013 15:12:43,5/7/2013,15:12:43,0.00,23.00,37.59,956.72,168
5/7/2013 15:12:58,5/7/2013,15:12:58,0.56,22.92,40.50,956.71,180
5/7/2013 15:13:13,5/7/2013,15:13:13,0.63,22.87,39.70,956.72,81
5/7/2013 15:13:28,5/7/2013,15:13:28,0.81,22.87,38.59,956.71,158
5/7/2013 15:13:43,5/7/2013,15:13:43,1.53,22.52,37.90,956.72,162
5/7/2013 15:13:58,5/7/2013,15:13:58,1.19,22.60,41.00,956.73,213
5/7/2013 15:14:13,5/7/2013,15:14:13,0.36,22.85,42.79,956.75,184
5/7/2013 15:14:28,5/7/2013,15:14:28,0.97,22.70,39.90,956.73,180
5/7/2013 15:14:43,5/7/2013,15:14:43,1.33,22.37,36.70,956.73,172
5/7/2013 15:14:58,5/7/2013,15:14:58,1.04,22.52,39.29,956.73,169
5/7/2013 15:15:13,5/7/2013,15:15:13,1.34,22.29,38.09,956.72,173
5/7/2013 15:15:28,5/7/2013,15:15:28,0.72,22.52,39.50,956.72,169
5/7/2013 15:15:43,5/7/2013,15:15:43,1.07,22.32,39.09,956.71,211
5/7/2013 15:15:58,5/7/2013,15:15:58,0.17,22.57,41.50,956.71,166
5/7/2013 15:16:13,5/7/2013,15:16:13,0.79,22.45,39.90,956.71,161
5/7/2013 15:16:28,5/7/2013,15:16:28,1.16,22.29,38.59,956.70,164
5/7/2013 15:16:43,5/7/2013,15:16:43,1.53,22.25,40.40,956.70,164
5/7/2013 15:16:58,5/7/2013,15:16:58,1.05,22.37,41.09,956.71,214
5/7/2013 15:17:13,5/7/2013,15:17:13,0.79,22.50,42.70,956.71,192
5/7/2013 15:17:28,5/7/2013,15:17:28,2.25,21.89,38.79,956.69,201
5/7/2013 15:17:43,5/7/2013,15:17:43,1.33,22.04,40.40,956.72,167
5/7/2013 15:17:58,5/7/2013,15:17:58,1.04,22.25,41.79,956.73,180
5/7/2013 15:18:13,5/7/2013,15:18:13,1.50,22.02,40.50,956.73,191
5/7/2013 15:18:28,5/7/2013,15:18:28,0.75,22.32,44.20,956.73,162
5/7/2013 15:18:43,5/7/2013,15:18:43,0.00,22.52,44.79,956.72,216
5/7/2013 15:18:58,5/7/2013,15:18:58,1.86,22.10,43.20,956.71,179
5/7/2013 15:19:13,5/7/2013,15:19:13,1.29,22.22,44.09,956.71,152
5/7/2013 15:19:28,5/7/2013,15:19:28,0.96,22.45,42.70,956.71,180
5/7/2013 15:19:43,5/7/2013,15:19:43,1.10,22.29,41.70,956.71,192
