DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
5/17/2013 13:13:44,5/17/2013,13:13:44,0.00,21.02,66.90,965.03,330
5/17/2013 13:13:59,5/17/2013,13:13:59,0.00,20.75,67.19,965.03,208
5/17/2013 13:14:14,5/17/2013,13:14:14,0.00,20.87,67.19,965.03,283
5/17/2013 13:14:29,5/17/2013,13:14:29,0.00,20.47,68.59,965.05,178
5/17/2013 13:14:44,5/17/2013,13:14:44,0.86,20.10,68.59,965.07,193
5/17/2013 13:14:59,5/17/2013,13:14:59,0.16,20.12,69.59,965.09,199
5/17/2013 13:15:14,5/17/2013,13:15:14,0.00,20.02,69.50,965.09,193
5/17/2013 13:15:29,5/17/2013,13:15:29,0.00,20.02,70.59,965.11,172
5/17/2013 13:15:44,5/17/2013,13:15:44,0.00,20.17,70.69,965.14,145
5/17/2013 13:15:59,5/17/2013,13:15:59,0.00,20.17,70.30,965.15,185
5/17/2013 13:16:14,5/17/2013,13:16:14,0.27,19.97,71.00,965.14,133
5/17/2013 13:16:29,5/17/2013,13:16:29,0.00,19.92,72.19,965.16,212
5/17/2013 13:16:44,5/17/2013,13:16:44,0.48,19.70,72.00,965.17,180
5/17/2013 13:16:59,5/17/2013,13:16:59,1.27,19.50,72.80,965.18,171
5/17/2013 13:17:14,5/17/2013,13:17:14,1.95,19.07,72.00,965.20,210
5/17/2013 13:17:29,5/17/2013,13:17:29,1.04,19.17,72.80,965.22,173
5/17/2013 13:17:44,5/17/2013,13:17:44,1.13,19.02,72.59,965.22,201
5/17/2013 13:17:59,5/17/2013,13:17:59,1.08,19.07,74.00,965.22,196
5/17/2013 13:18:14,5/17/2013,13:18:14,1.18,18.95,73.90,965.23,190
5/17/2013 13:18:29,5/17/2013,13:18:29,0.58,18.89,73.80,965.26,207
5/17/2013 13:18:44,5/17/2013,13:18:44,0.88,18.75,74.00,965.29,176
5/17/2013 13:18:59,5/17/2013,13:18:59,1.40,18.67,74.80,965.27,207
5/17/2013 13:19:14,5/17/2013,13:19:14,1.29,18.67,76.09,965.30,186
5/17/2013 13:19:29,5/17/2013,13:19:29,1.09,18.52,75.40,965.30,208
5/17/2013 13:19:44,5/17/2013,13:19:44,1.31,18.45,75.59,965.30,206
5/17/2013 13:19:59,5/17/2013,13:19:59,0.37,18.47,75.40,965.32,192
5/17/2013 13:20:14,5/17/2013,13:20:14,0.54,18.45,75.80,965.34,210
5/17/2013 13:20:29,5/17/2013,13:20:29,0.11,18.52,76.00,965.37,175
5/17/2013 13:20:44,5/17/2013,13:20:44,0.63,18.39,76.90,965.38,206
5/17/2013 13:20:59,5/17/2013,13:20:59,0.88,18.32,76.80,965.37,191
5/17/2013 13:21:14,5/17/2013,13:21:14,1.05,18.20,76.90,965.37,197
5/17/2013 13:21:29,5/17/2013,13:21:29,0.81,18.20,77.09,965.38,200
5/17/2013 13:21:44,5/17/2013,13:21:44,0.83,18.12,77.19,965.38,175
5/17/2013 13:21:59,5/17/2013,13:21:59,0.80,18.04,77.30,965.37,193
5/17/2013 13:22:14,5/17/2013,13:22:14,0.09,18.12,77.69,965.37,209
5/17/2013 13:22:29,5/17/2013,13:22:29,0.00,18.12,78.00,965.39,192
5/17/2013 13:22:44,5/17/2013,13:22:44,0.00,18.12,78.59,965.40,186
5/17/2013 13:22:59,5/17/2013,13:22:59,0.00,18.14,78.80,965.41,205
5/17/2013 13:23:14,5/17/2013,13:23:14,0.00,18.07,79.09,965.40,239
5/17/2013 13:23:29,5/17/2013,13:23:29,0.63,17.87,78.80,965.40,205
5/17/2013 13:23:44,5/17/2013,13:23:44,0.84,17.85,79.80,965.40,188
5/17/2013 13:23:59,5/17/2013,13:23:59,0.86,17.72,79.30,965.40,193
5/17/2013 13:24:14,5/17/2013,13:24:14,1.27,17.72,80.50,965.39,184
5/17/2013 13:24:29,5/17/2013,13:24:29,1.29,17.60,80.50,965.41,204
5/17/2013 13:24:44,5/17/2013,13:24:44,1.06,17.60,81.09,965.41,197
5/17/2013 13:24:59,5/17/2013,13:24:59,0.51,17.60,81.69,965.41,183
5/17/2013 13:25:14,5/17/2013,13:25:14,0.81,17.57,81.80,965.41,180
5/17/2013 13:25:29,5/17/2013,13:25:29,1.01,17.42,81.09,965.45,195
5/17/2013 13:25:44,5/17/2013,13:25:44,1.47,17.37,81.50,965.46,179
5/17/2013 13:25:59,5/17/2013,13:25:59,0.69,17.42,82.00,965.47,201
5/17/2013 13:26:14,5/17/2013,13:26:14,0.91,17.37,82.90,965.45,217
5/17/2013 13:26:29,5/17/2013,13:26:29,0.80,17.37,83.50,965.41,198
5/17/2013 13:26:44,5/17/2013,13:26:44,0.81,17.32,83.69,965.41,191
5/17/2013 13:26:59,5/17/2013,13:26:59,0.83,17.29,82.90,965.41,209
5/17/2013 13:27:14,5/17/2013,13:27:14,0.97,17.25,83.30,965.41,228
5/17/2013 13:27:29,5/17/2013,13:27:29,0.59,17.25,83.30,965.42,178
5/17/2013 13:27:44,5/17/2013,13:27:44,1.06,17.14,82.90,965.41,202
5/17/2013 13:27:59,5/17/2013,13:27:59,0.45,17.22,83.69,965.42,184
5/17/2013 13:28:14,5/17/2013,13:28:14,0.48,17.25,84.19,965.45,182
5/17/2013 13:28:29,5/17/2013,13:28:29,0.73,17.17,84.09,965.42,198
