DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
2/2/2014 09:53:32,2/2/2014,09:53:32,0.00,12.92,59.20,948.76,203
2/2/2014 09:54:02,2/2/2014,09:54:02,1.27,12.19,59.29,948.75,236
2/2/2014 09:54:32,2/2/2014,09:54:32,0.00,12.27,59.00,948.81,276
2/2/2014 09:55:02,2/2/2014,09:55:02,0.00,11.77,61.09,948.86,206
2/2/2014 09:55:32,2/2/2014,09:55:32,0.00,11.42,61.90,948.92,275
2/2/2014 09:56:02,2/2/2014,09:56:02,0.52,10.75,63.20,948.95,205
2/2/2014 09:56:32,2/2/2014,09:56:32,0.29,10.50,64.30,948.96,228
2/2/2014 09:57:02,2/2/2014,09:57:02,0.58,10.19,66.30,948.98,240
2/2/2014 09:57:32,2/2/2014,09:57:32,0.00,10.22,66.30,949.04,208
2/2/2014 09:58:02,2/2/2014,09:58:02,0.00,10.00,67.50,949.03,279
2/2/2014 09:58:32,2/2/2014,09:58:32,0.00,9.82,67.40,949.08,243
2/2/2014 09:59:02,2/2/2014,09:59:02,0.00,9.47,68.40,949.12,195
2/2/2014 09:59:32,2/2/2014,09:59:32,0.00,9.27,69.19,949.16,230
2/2/2014 10:00:02,2/2/2014,10:00:02,0.37,9.05,69.40,949.18,258
2/2/2014 10:00:32,2/2/2014,10:00:32,0.98,8.80,69.80,949.17,195
2/2/2014 10:01:02,2/2/2014,10:01:02,0.63,8.80,70.50,949.17,229
2/2/2014 10:01:32,2/2/2014,10:01:32,0.73,8.64,70.90,949.17,199
2/2/2014 10:02:02,2/2/2014,10:02:02,0.00,8.80,70.90,949.21,227
2/2/2014 10:02:32,2/2/2014,10:02:32,0.00,8.72,71.19,949.24,317
2/2/2014 10:03:02,2/2/2014,10:03:02,0.00,8.32,71.80,949.25,260
2/2/2014 10:03:32,2/2/2014,10:03:32,1.52,8.02,72.40,949.24,216
2/2/2014 10:04:02,2/2/2014,10:04:02,0.00,8.10,72.90,949.30,247
2/2/2014 10:04:32,2/2/2014,10:04:32,0.06,8.02,73.40,949.33,179
2/2/2014 10:05:02,2/2/2014,10:05:02,0.59,7.92,73.30,949.33,215
2/2/2014 10:05:32,2/2/2014,10:05:32,0.98,7.77,73.69,949.31,162
2/2/2014 10:06:02,2/2/2014,10:06:02,0.06,7.69,74.19,949.37,255
2/2/2014 10:06:32,2/2/2014,10:06:32,1.15,7.62,74.19,949.34,202
2/2/2014 10:07:02,2/2/2014,10:07:02,0.00,7.65,75.09,949.38,272
2/2/2014 10:07:32,2/2/2014,10:07:32,0.00,7.55,75.19,949.42,242
2/2/2014 10:08:02,2/2/2014,10:08:02,0.52,7.47,75.09,949.42,248
2/2/2014 10:08:32,2/2/2014,10:08:32,0.95,7.37,75.19,949.42,211
2/2/2014 10:09:02,2/2/2014,10:09:02,0.23,7.34,75.80,949.42,202
2/2/2014 10:09:32,2/2/2014,10:09:32,0.97,7.30,75.40,949.39,235
2/2/2014 10:10:02,2/2/2014,10:10:02,0.00,7.30,76.19,949.45,187
2/2/2014 10:10:32,2/2/2014,10:10:32,0.00,7.30,76.50,949.50,189
2/2/2014 10:11:02,2/2/2014,10:11:02,0.33,7.27,76.09,949.49,177
2/2/2014 10:11:32,2/2/2014,10:11:32,1.19,7.15,76.19,949.51,174
2/2/2014 10:12:02,2/2/2014,10:12:02,0.15,7.17,76.59,949.55,199
2/2/2014 10:12:32,2/2/2014,10:12:32,0.00,7.15,77.00,949.55,257
2/2/2014 10:13:02,2/2/2014,10:13:02,0.00,7.09,76.90,949.53,257
2/2/2014 10:13:32,2/2/2014,10:13:32,0.00,7.15,77.50,949.55,206
2/2/2014 10:14:02,2/2/2014,10:14:02,0.00,7.15,76.90,949.55,286
2/2/2014 10:14:32,2/2/2014,10:14:32,0.00,7.07,77.19,949.53,265
2/2/2014 10:15:02,2/2/2014,10:15:02,0.00,7.07,76.59,949.58,200
2/2/2014 10:15:32,2/2/2014,10:15:32,1.33,7.00,77.00,949.54,182
2/2/2014 10:16:02,2/2/2014,10:16:02,1.30,6.94,77.09,949.54,216
2/2/2014 10:16:32,2/2/2014,10:16:32,0.00,7.02,77.30,949.59,288
2/2/2014 10:17:02,2/2/2014,10:17:02,0.00,7.02,77.69,949.61,107
2/2/2014 10:17:32,2/2/2014,10:17:32,1.13,6.90,77.30,949.57,173
2/2/2014 10:18:02,2/2/2014,10:18:02,0.00,6.90,77.90,949.63,260
2/2/2014 10:18:32,2/2/2014,10:18:32,0.00,6.94,77.50,949.63,256
2/2/2014 10:19:02,2/2/2014,10:19:02,0.00,7.00,77.90,949.65,233
2/2/2014 10:19:32,2/2/2014,10:19:32,0.00,7.00,77.50,949.63,265
2/2/2014 10:20:02,2/2/2014,10:20:02,0.62,6.90,77.59,949.60,190
2/2/2014 10:20:32,2/2/2014,10:20:32,0.00,6.90,77.80,949.63,278
2/2/2014 10:21:02,2/2/2014,10:21:02,0.00,6.90,77.90,949.66,169
2/2/2014 10:21:32,2/2/2014,10:21:32,1.40,6.82,77.40,949.62,212
2/2/2014 10:22:02,2/2/2014,10:22:02,1.48,6.82,77.19,949.57,187
2/2/2014 10:22:32,2/2/2014,10:22:32,0.97,6.82,77.40,949.60,269
2/2/2014 10:23:02,2/2/2014,10:23:02,0.52,6.82,77.59,949.63,358
2/2/2014 10:23:32,2/2/2014,10:23:32,1.16,6.82,77.69,949.63,199
2/2/2014 10:24:02,2/2/2014,10:24:02,1.15,6.82,77.50,949.60,212
2/2/2014 10:24:32,2/2/2014,10:24:32,0.88,6.82,77.69,949.61,187
2/2/2014 10:25:02,2/2/2014,10:25:02,0.98,6.87,77.80,949.61,244
2/2/2014 10:25:32,2/2/2014,10:25:32,0.74,6.90,77.80,949.62,170
2/2/2014 10:26:02,2/2/2014,10:26:02,0.11,7.00,78.40,949.68,203
2/2/2014 10:26:32,2/2/2014,10:26:32,1.23,7.00,77.19,949.67,192
2/2/2014 10:27:02,2/2/2014,10:27:02,1.98,7.00,76.90,949.62,197
2/2/2014 10:27:32,2/2/2014,10:27:32,2.04,7.02,77.19,949.61,202
2/2/2014 10:28:02,2/2/2014,10:28:02,0.00,7.22,77.90,949.71,246
2/2/2014 10:28:32,2/2/2014,10:28:32,0.00,7.37,76.69,949.71,185
2/2/2014 10:29:02,2/2/2014,10:29:02,0.69,7.55,76.09,949.66,198
2/2/2014 10:29:32,2/2/2014,10:29:32,1.52,7.69,75.40,949.60,205
2/2/2014 10:30:02,2/2/2014,10:30:02,0.00,8.10,74.80,949.65,137
2/2/2014 10:30:32,2/2/2014,10:30:32,0.00,8.30,74.40,949.66,242
2/2/2014 10:31:02,2/2/2014,10:31:02,0.00,8.44,74.19,949.66,230
2/2/2014 10:31:32,2/2/2014,10:31:32,0.69,8.39,73.30,949.62,221
2/2/2014 10:32:02,2/2/2014,10:32:02,0.18,8.57,72.90,949.66,194
2/2/2014 10:32:32,2/2/2014,10:32:32,0.19,8.64,72.09,949.66,215
2/2/2014 10:33:02,2/2/2014,10:33:02,1.29,8.64,72.00,949.61,193
2/2/2014 10:33:32,2/2/2014,10:33:32,1.56,8.64,71.50,949.60,180
2/2/2014 10:34:02,2/2/2014,10:34:02,2.01,8.64,71.59,949.60,198
2/2/2014 10:34:32,2/2/2014,10:34:32,1.61,8.72,71.50,949.59,207
2/2/2014 10:35:02,2/2/2014,10:35:02,0.09,9.07,71.80,949.66,277
2/2/2014 10:35:32,2/2/2014,10:35:32,0.18,9.05,71.69,949.66,218
2/2/2014 10:36:02,2/2/2014,10:36:02,0.00,9.17,70.90,949.68,201
2/2/2014 10:36:32,2/2/2014,10:36:32,0.00,9.12,70.80,949.71,235
2/2/2014 10:37:02,2/2/2014,10:37:02,0.90,9.00,70.80,949.69,204
2/2/2014 10:37:32,2/2/2014,10:37:32,2.23,8.80,71.69,949.63,188
2/2/2014 10:38:02,2/2/2014,10:38:02,2.83,8.57,71.40,949.60,195
2/2/2014 10:38:32,2/2/2014,10:38:32,0.86,8.87,71.90,949.61,204
2/2/2014 10:39:02,2/2/2014,10:39:02,0.44,8.87,71.09,949.67,173
2/2/2014 10:39:32,2/2/2014,10:39:32,0.93,8.85,71.90,949.65,241
2/2/2014 10:40:02,2/2/2014,10:40:02,0.00,8.97,71.30,949.67,203
2/2/2014 10:40:32,2/2/2014,10:40:32,1.08,8.85,71.00,949.66,159
2/2/2014 10:41:02,2/2/2014,10:41:02,1.68,8.77,71.69,949.61,182
2/2/2014 10:41:32,2/2/2014,10:41:32,0.11,8.97,71.50,949.69,224
2/2/2014 10:42:02,2/2/2014,10:42:02,0.38,9.05,71.90,949.68,184
2/2/2014 10:42:32,2/2/2014,10:42:32,0.87,9.00,70.90,949.66,213
2/2/2014 10:43:02,2/2/2014,10:43:02,0.36,9.12,70.59,949.69,195
2/2/2014 10:43:32,2/2/2014,10:43:32,1.19,8.97,70.40,949.63,197
2/2/2014 10:44:02,2/2/2014,10:44:02,0.00,9.25,70.30,949.67,200
2/2/2014 10:44:32,2/2/2014,10:44:32,0.00,9.35,71.00,949.69,219
2/2/2014 10:45:02,2/2/2014,10:45:02,2.12,8.80,70.69,949.63,192
2/2/2014 10:45:32,2/2/2014,10:45:32,1.18,8.80,71.19,949.67,268
2/2/2014 10:46:02,2/2/2014,10:46:02,0.00,8.85,70.90,949.71,286
2/2/2014 10:46:32,2/2/2014,10:46:32,0.12,8.87,70.69,949.74,178
2/2/2014 10:47:02,2/2/2014,10:47:02,0.77,8.80,71.19,949.74,280
2/2/2014 10:47:32,2/2/2014,10:47:32,0.38,8.80,71.09,949.78,211
2/2/2014 10:48:02,2/2/2014,10:48:02,0.12,8.87,71.59,949.76,215
2/2/2014 10:48:32,2/2/2014,10:48:32,0.00,8.80,71.09,949.79,158
2/2/2014 10:49:02,2/2/2014,10:49:02,2.13,8.57,70.69,949.75,185
2/2/2014 10:49:32,2/2/2014,10:49:32,1.98,8.57,70.90,949.75,295
2/2/2014 10:50:02,2/2/2014,10:50:02,0.61,8.57,71.19,949.80,248
2/2/2014 10:50:32,2/2/2014,10:50:32,0.00,8.72,71.30,949.85,221
2/2/2014 10:51:02,2/2/2014,10:51:02,0.26,8.64,71.19,949.83,293
2/2/2014 10:51:32,2/2/2014,10:51:32,0.00,8.80,71.90,949.83,217
2/2/2014 10:52:02,2/2/2014,10:52:02,0.00,8.85,70.90,949.83,252
2/2/2014 10:52:32,2/2/2014,10:52:32,0.40,8.69,70.40,949.83,253
2/2/2014 10:53:02,2/2/2014,10:53:02,0.47,8.64,71.09,949.85,289
2/2/2014 10:53:32,2/2/2014,10:53:32,0.18,8.64,70.80,949.86,233
2/2/2014 10:54:02,2/2/2014,10:54:02,0.66,8.60,71.09,949.87,262
2/2/2014 10:54:32,2/2/2014,10:54:32,0.00,8.72,71.40,949.93,255
2/2/2014 10:55:02,2/2/2014,10:55:02,1.11,8.57,71.80,949.88,242
2/2/2014 10:55:32,2/2/2014,10:55:32,0.00,8.64,71.19,949.90,251
2/2/2014 10:56:02,2/2/2014,10:56:02,0.00,8.72,72.00,949.93,294
2/2/2014 10:56:32,2/2/2014,10:56:32,0.47,8.69,71.50,949.92,226
2/2/2014 10:57:02,2/2/2014,10:57:02,1.02,8.64,71.00,949.91,204
2/2/2014 10:57:32,2/2/2014,10:57:32,0.13,8.77,72.09,949.88,216
2/2/2014 10:58:02,2/2/2014,10:58:02,0.00,8.97,71.90,949.87,220
2/2/2014 10:58:32,2/2/2014,10:58:32,0.31,9.05,71.19,949.84,219
2/2/2014 10:59:02,2/2/2014,10:59:02,0.49,9.12,70.00,949.84,216
2/2/2014 10:59:32,2/2/2014,10:59:32,0.45,9.32,70.80,949.83,236
2/2/2014 11:00:02,2/2/2014,11:00:02,1.49,9.19,69.50,949.80,225
2/2/2014 11:00:32,2/2/2014,11:00:32,0.97,9.35,69.50,949.84,181
