DateTime,Date,Time,Wind,Temperature,Pressure,Humidity,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[hPa],[%rH],[¡N]
11/7/2013 17:13:24,11/7/2013,17:13:24,0.00,14.35,952.49,62.00,335
11/7/2013 17:13:54,11/7/2013,17:13:54,0.00,14.10,952.81,58.20,243
11/7/2013 17:14:24,11/7/2013,17:14:24,0.00,13.55,952.91,57.29,309
11/7/2013 17:14:54,11/7/2013,17:14:54,0.00,13.07,953.00,55.20,304
11/7/2013 17:15:24,11/7/2013,17:15:24,0.00,12.75,953.05,55.79,303
11/7/2013 17:15:54,11/7/2013,17:15:54,0.00,12.44,953.07,55.70,310
11/7/2013 17:16:24,11/7/2013,17:16:24,0.00,12.17,953.09,56.09,310
11/7/2013 17:16:54,11/7/2013,17:16:54,0.00,11.89,953.12,56.59,310
11/7/2013 17:17:24,11/7/2013,17:17:24,0.00,11.64,953.13,56.90,310
11/7/2013 17:17:54,11/7/2013,17:17:54,0.00,11.42,953.08,57.50,310
11/7/2013 17:18:24,11/7/2013,17:18:24,0.00,11.25,953.08,57.79,310
11/7/2013 17:18:54,11/7/2013,17:18:54,0.00,11.02,953.07,58.09,313
11/7/2013 17:19:24,11/7/2013,17:19:24,0.00,10.87,953.05,58.90,328
11/7/2013 17:19:54,11/7/2013,17:19:54,0.00,10.69,953.04,59.20,328
11/7/2013 17:20:24,11/7/2013,17:20:24,0.00,10.50,953.01,59.90,289
11/7/2013 17:20:54,11/7/2013,17:20:54,0.00,10.22,953.01,60.70,258
11/7/2013 17:21:24,11/7/2013,17:21:24,0.00,10.07,953.01,61.40,259
11/7/2013 17:21:54,11/7/2013,17:21:54,0.00,9.75,953.04,61.90,237
11/7/2013 17:22:24,11/7/2013,17:22:24,0.00,9.55,953.04,62.59,237
11/7/2013 17:22:54,11/7/2013,17:22:54,0.00,9.35,953.06,62.90,238
11/7/2013 17:23:24,11/7/2013,17:23:24,0.00,9.27,953.06,63.50,238
11/7/2013 17:23:54,11/7/2013,17:23:54,0.00,9.32,953.07,63.59,238
11/7/2013 17:24:24,11/7/2013,17:24:24,0.00,9.19,953.07,63.70,287
11/7/2013 17:24:54,11/7/2013,17:24:54,0.00,9.12,953.06,63.79,286
11/7/2013 17:25:24,11/7/2013,17:25:24,0.00,9.05,953.10,64.09,278
11/7/2013 17:25:54,11/7/2013,17:25:54,0.00,8.87,953.08,64.50,269
11/7/2013 17:26:24,11/7/2013,17:26:24,0.00,8.87,953.10,64.50,268
11/7/2013 17:26:54,11/7/2013,17:26:54,0.00,8.72,953.12,64.90,250
11/7/2013 17:27:24,11/7/2013,17:27:24,0.00,8.60,953.12,65.19,248
11/7/2013 17:27:54,11/7/2013,17:27:54,0.00,8.52,953.09,65.30,249
11/7/2013 17:28:24,11/7/2013,17:28:24,0.00,8.50,953.14,65.50,249
11/7/2013 17:28:54,11/7/2013,17:28:54,0.00,8.39,953.14,65.69,260
11/7/2013 17:29:24,11/7/2013,17:29:24,0.00,8.37,953.14,65.90,260
11/7/2013 17:29:54,11/7/2013,17:29:54,0.00,8.32,953.14,66.40,260
11/7/2013 17:30:24,11/7/2013,17:30:24,0.00,8.25,953.15,66.80,274
11/7/2013 17:30:54,11/7/2013,17:30:54,0.00,8.25,953.16,67.09,265
11/7/2013 17:31:24,11/7/2013,17:31:24,0.00,8.17,953.15,66.90,265
11/7/2013 17:31:54,11/7/2013,17:31:54,0.00,8.12,953.15,66.90,249
11/7/2013 17:32:24,11/7/2013,17:32:24,0.00,8.05,953.16,66.90,250
11/7/2013 17:32:54,11/7/2013,17:32:54,0.00,8.02,953.16,66.80,249
11/7/2013 17:33:24,11/7/2013,17:33:24,0.00,8.02,953.16,66.90,249
11/7/2013 17:33:54,11/7/2013,17:33:54,0.00,7.97,953.16,66.90,250
11/7/2013 17:34:24,11/7/2013,17:34:24,0.00,7.90,953.21,67.00,249
11/7/2013 17:34:54,11/7/2013,17:34:54,0.00,7.84,953.23,67.50,275
11/7/2013 17:35:24,11/7/2013,17:35:24,0.00,7.82,953.24,67.59,275
11/7/2013 17:35:54,11/7/2013,17:35:54,0.00,7.82,953.28,67.69,274
11/7/2013 17:36:24,11/7/2013,17:36:24,0.00,7.77,953.31,67.69,302
11/7/2013 17:36:54,11/7/2013,17:36:54,0.00,7.77,953.33,68.30,305
11/7/2013 17:37:24,11/7/2013,17:37:24,0.00,7.69,953.34,68.80,305
11/7/2013 17:37:54,11/7/2013,17:37:54,0.00,7.69,953.33,69.00,314
11/7/2013 17:38:24,11/7/2013,17:38:24,0.00,7.62,953.31,69.00,313
11/7/2013 17:38:54,11/7/2013,17:38:54,0.00,7.62,953.32,68.90,320
11/7/2013 17:39:24,11/7/2013,17:39:24,0.00,7.57,953.31,68.80,320
11/7/2013 17:39:54,11/7/2013,17:39:54,0.00,7.55,953.30,68.80,326
11/7/2013 17:40:24,11/7/2013,17:40:24,0.00,7.55,953.31,68.80,327
11/7/2013 17:40:54,11/7/2013,17:40:54,0.00,7.50,953.31,68.69,327
11/7/2013 17:41:24,11/7/2013,17:41:24,0.00,7.47,953.31,68.80,326
11/7/2013 17:41:54,11/7/2013,17:41:54,0.00,7.47,953.31,68.80,328
11/7/2013 17:42:24,11/7/2013,17:42:24,0.00,7.42,953.32,68.80,323
11/7/2013 17:42:54,11/7/2013,17:42:54,0.00,7.42,953.31,68.69,51
11/7/2013 17:43:24,11/7/2013,17:43:24,0.00,7.37,953.33,68.59,49
11/7/2013 17:43:54,11/7/2013,17:43:54,0.00,7.30,953.36,68.50,50
11/7/2013 17:44:24,11/7/2013,17:44:24,0.00,7.27,953.36,68.50,50
11/7/2013 17:44:54,11/7/2013,17:44:54,0.00,7.22,953.34,68.59,49
11/7/2013 17:45:24,11/7/2013,17:45:24,0.00,7.17,953.33,68.59,49
11/7/2013 17:45:54,11/7/2013,17:45:54,0.00,7.15,953.34,68.50,49
11/7/2013 17:46:24,11/7/2013,17:46:24,0.00,7.09,953.34,68.40,44
11/7/2013 17:46:54,11/7/2013,17:46:54,0.00,7.07,953.32,68.40,40
11/7/2013 17:47:24,11/7/2013,17:47:24,0.00,7.07,953.33,68.40,50
11/7/2013 17:47:54,11/7/2013,17:47:54,0.00,7.00,953.31,68.59,54
11/7/2013 17:48:24,11/7/2013,17:48:24,0.00,7.00,953.31,68.59,50
11/7/2013 17:48:54,11/7/2013,17:48:54,0.00,6.90,953.28,68.69,50
11/7/2013 17:49:24,11/7/2013,17:49:24,0.00,6.90,953.28,68.69,50
11/7/2013 17:49:54,11/7/2013,17:49:54,0.00,6.82,953.31,69.00,50
11/7/2013 17:50:24,11/7/2013,17:50:24,0.00,6.80,953.34,69.09,50
11/7/2013 17:50:54,11/7/2013,17:50:54,0.00,6.80,953.33,69.19,50
11/7/2013 17:51:24,11/7/2013,17:51:24,0.00,6.75,953.32,69.40,50
11/7/2013 17:51:54,11/7/2013,17:51:54,0.00,6.75,953.34,69.59,50
