DateTime,Date,Time,Windav,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[HH:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
5/1/2013 15:09:42,5/1/2013,15:09:42,0.15,27.32,19.50,965.04,23
5/1/2013 15:09:57,5/1/2013,15:09:57,0.00,26.54,18.79,965.12,23
5/1/2013 15:10:12,5/1/2013,15:10:12,2.70,23.89,19.89,965.09,26
5/1/2013 15:10:27,5/1/2013,15:10:27,1.84,24.14,21.20,965.24,28
5/1/2013 15:10:42,5/1/2013,15:10:42,1.33,24.25,19.20,965.32,30
5/1/2013 15:10:57,5/1/2013,15:10:57,1.09,24.10,19.20,965.41,32
5/1/2013 15:11:12,5/1/2013,15:11:12,0.06,25.20,19.50,965.42,294
5/1/2013 15:11:27,5/1/2013,15:11:27,0.00,25.00,18.20,965.44,32
5/1/2013 15:11:42,5/1/2013,15:11:42,1.45,23.89,21.60,965.49,48
5/1/2013 15:11:57,5/1/2013,15:11:57,1.12,23.89,22.39,965.59,59
5/1/2013 15:12:12,5/1/2013,15:12:12,1.36,23.39,22.39,965.62,43
5/1/2013 15:12:27,5/1/2013,15:12:27,1.47,23.25,23.39,965.65,3
5/1/2013 15:12:42,5/1/2013,15:12:42,0.91,23.47,22.10,965.71,6
5/1/2013 15:12:57,5/1/2013,15:12:57,1.33,23.00,22.50,965.74,53
5/1/2013 15:13:12,5/1/2013,15:13:12,1.59,22.57,22.60,965.71,353
5/1/2013 15:13:27,5/1/2013,15:13:27,1.26,22.60,22.79,965.77,46
5/1/2013 15:13:42,5/1/2013,15:13:42,1.33,22.32,22.39,965.79,79
5/1/2013 15:13:57,5/1/2013,15:13:57,0.62,22.87,24.10,965.81,95
5/1/2013 15:14:12,5/1/2013,15:14:12,0.90,22.60,23.79,965.83,37
5/1/2013 15:14:27,5/1/2013,15:14:27,0.95,22.64,24.20,965.83,48
5/1/2013 15:14:42,5/1/2013,15:14:42,1.51,21.87,24.20,965.84,38
5/1/2013 15:14:57,5/1/2013,15:14:57,1.62,21.89,24.60,965.86,30
5/1/2013 15:15:12,5/1/2013,15:15:12,1.27,21.97,25.50,965.87,28
5/1/2013 15:15:27,5/1/2013,15:15:27,1.16,21.95,25.70,965.91,40
5/1/2013 15:15:42,5/1/2013,15:15:42,1.20,21.89,25.50,965.92,17
5/1/2013 15:15:57,5/1/2013,15:15:57,0.47,22.29,26.00,965.93,3
5/1/2013 15:16:12,5/1/2013,15:16:12,1.45,21.54,24.50,965.94,72
5/1/2013 15:16:27,5/1/2013,15:16:27,1.34,21.29,24.50,965.99,15
5/1/2013 15:16:42,5/1/2013,15:16:42,0.73,21.97,24.60,966.00,49
5/1/2013 15:16:57,5/1/2013,15:16:57,0.99,21.47,23.60,966.01,101
5/1/2013 15:17:12,5/1/2013,15:17:12,1.33,21.12,24.79,966.04,49
5/1/2013 15:17:27,5/1/2013,15:17:27,1.16,21.02,26.60,966.04,80
5/1/2013 15:17:42,5/1/2013,15:17:42,0.93,21.29,26.29,966.04,21
5/1/2013 15:17:57,5/1/2013,15:17:57,1.30,20.95,26.39,966.02,24
5/1/2013 15:18:12,5/1/2013,15:18:12,0.70,21.20,25.20,966.05,27
5/1/2013 15:18:27,5/1/2013,15:18:27,0.98,20.95,24.10,966.04,21
5/1/2013 15:18:42,5/1/2013,15:18:42,1.34,20.64,24.29,966.06,91
5/1/2013 15:18:57,5/1/2013,15:18:57,1.24,20.72,25.10,966.08,25
5/1/2013 15:19:12,5/1/2013,15:19:12,1.02,20.85,22.89,966.08,72
