DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
2/4/2014 15:51:00,2/4/2014,15:51:00,1.13,10.62,68.00,938.71,100
2/4/2014 15:51:30,2/4/2014,15:51:30,0.00,11.02,67.50,938.71,110
2/4/2014 15:52:00,2/4/2014,15:52:00,1.62,10.07,67.90,938.78,120
2/4/2014 15:52:30,2/4/2014,15:52:30,5.41,9.27,70.50,938.71,173
2/4/2014 15:53:00,2/4/2014,15:53:00,3.01,9.19,71.59,938.74,240
2/4/2014 15:53:30,2/4/2014,15:53:30,4.20,8.97,71.69,938.67,175
2/4/2014 15:54:00,2/4/2014,15:54:00,1.94,8.97,72.80,938.72,222
2/4/2014 15:54:30,2/4/2014,15:54:30,1.31,8.85,73.19,938.72,144
2/4/2014 15:55:00,2/4/2014,15:55:00,1.45,8.72,73.69,938.66,152
2/4/2014 15:55:30,2/4/2014,15:55:30,1.86,8.57,74.69,938.74,200
2/4/2014 15:56:00,2/4/2014,15:56:00,1.98,8.44,75.80,938.81,167
2/4/2014 15:56:30,2/4/2014,15:56:30,4.04,8.32,74.80,938.74,82
2/4/2014 15:57:00,2/4/2014,15:57:00,3.59,8.22,75.50,938.67,173
2/4/2014 15:57:30,2/4/2014,15:57:30,3.11,8.17,75.59,938.74,187
2/4/2014 15:58:00,2/4/2014,15:58:00,3.19,8.10,75.40,938.72,190
2/4/2014 15:58:30,2/4/2014,15:58:30,4.30,8.02,75.19,938.71,75
2/4/2014 15:59:00,2/4/2014,15:59:00,2.91,8.02,76.00,938.69,92
2/4/2014 15:59:30,2/4/2014,15:59:30,4.13,7.92,75.90,938.67,113
2/4/2014 16:00:00,2/4/2014,16:00:00,2.76,7.90,75.90,938.74,166
2/4/2014 16:00:30,2/4/2014,16:00:30,6.12,7.84,75.90,938.55,116
2/4/2014 16:01:00,2/4/2014,16:01:00,2.31,7.84,76.40,938.58,186
2/4/2014 16:01:30,2/4/2014,16:01:30,2.61,7.82,76.50,938.63,146
2/4/2014 16:02:00,2/4/2014,16:02:00,2.09,7.77,76.90,938.64,85
2/4/2014 16:02:30,2/4/2014,16:02:30,1.56,7.75,77.30,938.67,213
2/4/2014 16:03:00,2/4/2014,16:03:00,3.92,7.69,76.80,938.61,167
2/4/2014 16:03:30,2/4/2014,16:03:30,1.33,7.77,76.69,938.62,241
2/4/2014 16:04:00,2/4/2014,16:04:00,2.36,7.69,76.80,938.57,202
2/4/2014 16:04:30,2/4/2014,16:04:30,2.13,7.69,77.09,938.58,219
2/4/2014 16:05:00,2/4/2014,16:05:00,1.51,7.69,76.90,938.55,191
2/4/2014 16:05:30,2/4/2014,16:05:30,2.29,7.69,77.09,938.54,152
2/4/2014 16:06:00,2/4/2014,16:06:00,1.56,7.65,77.50,938.58,184
2/4/2014 16:06:30,2/4/2014,16:06:30,1.56,7.65,77.69,938.55,158
2/4/2014 16:07:00,2/4/2014,16:07:00,1.87,7.65,77.00,938.54,182
2/4/2014 16:07:30,2/4/2014,16:07:30,3.27,7.62,77.50,938.48,226
2/4/2014 16:08:00,2/4/2014,16:08:00,4.02,7.62,77.69,938.46,194
2/4/2014 16:08:30,2/4/2014,16:08:30,1.02,7.62,78.09,938.51,96
2/4/2014 16:09:00,2/4/2014,16:09:00,3.11,7.62,77.50,938.47,117
2/4/2014 16:09:30,2/4/2014,16:09:30,2.61,7.55,78.59,938.52,111
2/4/2014 16:10:00,2/4/2014,16:10:00,4.09,7.62,77.59,938.48,201
2/4/2014 16:10:30,2/4/2014,16:10:30,2.40,7.62,77.69,938.46,146
2/4/2014 16:11:00,2/4/2014,16:11:00,2.99,7.62,77.90,938.46,94
2/4/2014 16:11:30,2/4/2014,16:11:30,0.87,7.62,77.40,938.47,96
2/4/2014 16:12:00,2/4/2014,16:12:00,1.48,7.57,78.30,938.43,230
2/4/2014 16:12:30,2/4/2014,16:12:30,3.99,7.57,77.90,938.32,144
2/4/2014 16:13:00,2/4/2014,16:13:00,2.11,7.55,78.80,938.32,141
2/4/2014 16:13:30,2/4/2014,16:13:30,2.72,7.55,77.90,938.34,135
2/4/2014 16:14:00,2/4/2014,16:14:00,3.36,7.55,78.09,938.31,189
2/4/2014 16:14:30,2/4/2014,16:14:30,2.22,7.55,77.80,938.21,140
2/4/2014 16:15:00,2/4/2014,16:15:00,1.84,7.57,77.59,938.20,343
2/4/2014 16:15:30,2/4/2014,16:15:30,0.22,7.57,78.30,938.25,157
2/4/2014 16:16:00,2/4/2014,16:16:00,0.79,7.55,79.19,938.29,152
2/4/2014 16:16:30,2/4/2014,16:16:30,1.99,7.55,78.40,938.22,73
2/4/2014 16:17:00,2/4/2014,16:17:00,1.04,7.57,78.40,938.22,201
2/4/2014 16:17:30,2/4/2014,16:17:30,2.36,7.55,78.30,938.17,74
2/4/2014 16:18:00,2/4/2014,16:18:00,2.91,7.55,78.30,938.12,137
2/4/2014 16:18:30,2/4/2014,16:18:30,2.37,7.55,78.90,938.16,156
2/4/2014 16:19:00,2/4/2014,16:19:00,0.69,7.50,79.30,938.18,168
2/4/2014 16:19:30,2/4/2014,16:19:30,2.92,7.55,78.19,938.13,86
2/4/2014 16:20:00,2/4/2014,16:20:00,2.08,7.50,78.30,938.09,154
2/4/2014 16:20:30,2/4/2014,16:20:30,3.33,7.55,78.30,938.05,175
2/4/2014 16:21:00,2/4/2014,16:21:00,3.13,7.50,78.69,938.08,144
2/4/2014 16:21:30,2/4/2014,16:21:30,1.97,7.47,79.30,938.10,75
2/4/2014 16:22:00,2/4/2014,16:22:00,3.95,7.55,78.00,937.99,107
2/4/2014 16:22:30,2/4/2014,16:22:30,2.87,7.47,78.59,938.03,195
2/4/2014 16:23:00,2/4/2014,16:23:00,0.00,7.47,79.09,938.11,174
2/4/2014 16:23:30,2/4/2014,16:23:30,1.37,7.47,79.30,938.10,93
2/4/2014 16:24:00,2/4/2014,16:24:00,1.83,7.42,79.30,938.16,139
2/4/2014 16:24:30,2/4/2014,16:24:30,2.48,7.47,78.69,938.11,100
2/4/2014 16:25:00,2/4/2014,16:25:00,4.02,7.50,78.19,938.08,205
2/4/2014 16:25:30,2/4/2014,16:25:30,3.34,7.50,78.09,938.05,125
