DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],(¡N)
11/1/2013 11:44:50,11/1/2013,11:44:50,0.00,16.22,59.59,956.15,14
11/1/2013 11:45:20,11/1/2013,11:45:20,0.00,16.00,58.20,956.17,161
11/1/2013 11:45:50,11/1/2013,11:45:50,0.93,15.92,63.50,956.17,294
11/1/2013 11:46:20,11/1/2013,11:46:20,0.00,15.82,57.70,956.15,250
11/1/2013 11:46:50,11/1/2013,11:46:50,0.00,15.82,58.09,956.17,207
11/1/2013 11:47:20,11/1/2013,11:47:20,0.00,15.67,58.29,956.16,240
11/1/2013 11:47:50,11/1/2013,11:47:50,0.00,15.44,58.59,956.20,213
11/1/2013 11:48:20,11/1/2013,11:48:20,0.00,15.10,59.59,956.23,202
11/1/2013 11:48:50,11/1/2013,11:48:50,0.00,14.89,59.20,956.21,195
11/1/2013 11:49:20,11/1/2013,11:49:20,0.00,14.80,60.00,956.24,220
11/1/2013 11:49:50,11/1/2013,11:49:50,0.00,14.69,60.79,956.29,184
11/1/2013 11:50:20,11/1/2013,11:50:20,0.00,14.72,60.90,956.28,285
11/1/2013 11:50:50,11/1/2013,11:50:50,0.00,14.42,61.40,956.31,213
11/1/2013 11:51:20,11/1/2013,11:51:20,0.00,14.25,61.50,956.33,235
11/1/2013 11:51:50,11/1/2013,11:51:50,0.00,14.30,62.00,956.29,176
11/1/2013 11:52:20,11/1/2013,11:52:20,0.00,14.25,62.29,956.29,270
11/1/2013 11:52:50,11/1/2013,11:52:50,0.00,14.05,62.90,956.29,201
11/1/2013 11:53:20,11/1/2013,11:53:20,0.00,13.94,63.09,956.30,177
11/1/2013 11:53:50,11/1/2013,11:53:50,0.49,13.87,62.90,956.26,185
11/1/2013 11:54:20,11/1/2013,11:54:20,0.00,13.87,63.79,956.25,261
11/1/2013 11:54:50,11/1/2013,11:54:50,0.00,13.69,64.19,956.32,220
11/1/2013 11:55:20,11/1/2013,11:55:20,0.00,13.69,64.09,956.32,346
11/1/2013 11:55:50,11/1/2013,11:55:50,0.00,13.67,64.40,956.31,182
11/1/2013 11:56:20,11/1/2013,11:56:20,0.00,13.62,64.80,956.33,238
11/1/2013 11:56:50,11/1/2013,11:56:50,0.00,13.55,64.80,956.31,198
11/1/2013 11:57:20,11/1/2013,11:57:20,0.00,13.60,65.69,956.29,249
11/1/2013 11:57:50,11/1/2013,11:57:50,0.00,13.47,65.40,956.28,224
11/1/2013 11:58:20,11/1/2013,11:58:20,0.00,13.47,66.30,956.28,196
11/1/2013 11:58:50,11/1/2013,11:58:50,0.00,13.42,66.09,956.29,198
11/1/2013 11:59:20,11/1/2013,11:59:20,0.00,13.39,65.90,956.28,221
11/1/2013 11:59:50,11/1/2013,11:59:50,0.00,13.30,65.30,956.28,249
11/1/2013 12:00:20,11/1/2013,12:00:20,0.00,13.27,67.50,956.29,145
11/1/2013 12:00:50,11/1/2013,12:00:50,0.00,13.22,67.50,956.30,207
11/1/2013 12:01:20,11/1/2013,12:01:20,0.00,13.14,67.40,956.26,198
11/1/2013 12:01:50,11/1/2013,12:01:50,0.55,13.07,66.90,956.24,204
11/1/2013 12:02:20,11/1/2013,12:02:20,0.00,13.07,68.19,956.26,247
11/1/2013 12:02:50,11/1/2013,12:02:50,0.00,13.12,68.59,956.24,208
11/1/2013 12:03:20,11/1/2013,12:03:20,0.00,13.12,69.09,956.21,251
11/1/2013 12:03:50,11/1/2013,12:03:50,0.00,13.07,69.40,956.22,262
11/1/2013 12:04:20,11/1/2013,12:04:20,0.00,13.02,69.40,956.22,236
11/1/2013 12:04:50,11/1/2013,12:04:50,0.00,13.02,69.80,956.22,258
11/1/2013 12:05:20,11/1/2013,12:05:20,0.00,13.00,70.09,956.22,233
11/1/2013 12:05:50,11/1/2013,12:05:50,0.00,13.00,70.40,956.23,243
11/1/2013 12:06:20,11/1/2013,12:06:20,0.00,12.94,70.19,956.22,244
11/1/2013 12:06:50,11/1/2013,12:06:50,0.00,12.92,70.19,956.23,247
11/1/2013 12:07:20,11/1/2013,12:07:20,0.00,12.94,70.00,956.20,232
11/1/2013 12:07:50,11/1/2013,12:07:50,0.00,12.92,69.30,956.21,204
11/1/2013 12:08:20,11/1/2013,12:08:20,0.00,12.94,69.90,956.18,206
11/1/2013 12:08:50,11/1/2013,12:08:50,0.00,12.92,69.69,956.18,218
11/1/2013 12:09:20,11/1/2013,12:09:20,0.00,12.92,69.40,956.18,211
11/1/2013 12:09:50,11/1/2013,12:09:50,0.33,12.94,68.50,956.17,241
11/1/2013 12:10:20,11/1/2013,12:10:20,0.00,12.94,69.00,956.15,226
11/1/2013 12:10:50,11/1/2013,12:10:50,0.00,12.94,68.50,956.14,223
11/1/2013 12:11:20,11/1/2013,12:11:20,0.66,13.00,67.69,956.11,225
11/1/2013 12:11:50,11/1/2013,12:11:50,0.00,13.00,68.80,956.09,255
11/1/2013 12:12:20,11/1/2013,12:12:20,0.00,13.00,67.30,956.13,201
11/1/2013 12:12:50,11/1/2013,12:12:50,0.00,13.00,67.69,956.08,233
11/1/2013 12:13:20,11/1/2013,12:13:20,0.00,13.00,68.50,956.05,247
11/1/2013 12:13:50,11/1/2013,12:13:50,0.00,13.00,69.00,956.03,263
11/1/2013 12:14:20,11/1/2013,12:14:20,0.00,13.02,69.40,956.02,192
11/1/2013 12:14:50,11/1/2013,12:14:50,0.00,13.07,68.90,956.02,209
11/1/2013 12:15:20,11/1/2013,12:15:20,0.00,13.07,67.80,956.00,143
11/1/2013 12:15:50,11/1/2013,12:15:50,0.49,13.07,67.09,955.95,242
11/1/2013 12:16:20,11/1/2013,12:16:20,0.00,13.14,67.69,955.98,278
11/1/2013 12:16:50,11/1/2013,12:16:50,0.00,13.19,68.59,955.95,250
11/1/2013 12:17:20,11/1/2013,12:17:20,0.00,13.22,68.00,955.94,207
11/1/2013 12:17:50,11/1/2013,12:17:50,1.02,13.19,66.40,955.90,227
11/1/2013 12:18:20,11/1/2013,12:18:20,0.38,13.22,65.30,955.90,190
11/1/2013 12:18:50,11/1/2013,12:18:50,0.00,13.27,64.69,955.91,216
11/1/2013 12:19:20,11/1/2013,12:19:20,0.00,13.27,67.00,955.90,199
11/1/2013 12:19:50,11/1/2013,12:19:50,0.00,13.27,66.90,955.91,264
