DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[HH:mm:ss],[m/s],[°C],[¡rH],[hPa],[¡N]
4/25/2013 17:53:03,4/25/2013,17:53:03,1.16,21.02,49.40,965.67,168
4/25/2013 17:53:18,4/25/2013,17:53:18,0.41,21.14,49.50,965.67,294
4/25/2013 17:53:33,4/25/2013,17:53:33,0.49,20.92,50.09,965.70,311
4/25/2013 17:53:48,4/25/2013,17:53:48,2.52,20.02,53.79,965.69,298
4/25/2013 17:54:03,4/25/2013,17:54:03,0.97,20.39,51.90,965.71,106
4/25/2013 17:54:18,4/25/2013,17:54:18,0.63,20.45,52.00,965.75,317
4/25/2013 17:54:33,4/25/2013,17:54:33,1.61,19.82,51.79,965.76,313
4/25/2013 17:54:48,4/25/2013,17:54:48,1.65,19.57,53.70,965.76,323
4/25/2013 17:55:03,4/25/2013,17:55:03,3.17,18.87,55.09,965.76,326
4/25/2013 17:55:18,4/25/2013,17:55:18,3.74,18.60,56.59,965.76,319
4/25/2013 17:55:33,4/25/2013,17:55:33,1.76,19.17,56.29,965.79,324
4/25/2013 17:55:48,4/25/2013,17:55:48,3.92,18.25,57.09,965.79,301
4/25/2013 17:56:03,4/25/2013,17:56:03,0.91,19.22,56.59,965.86,11
4/25/2013 17:56:18,4/25/2013,17:56:18,0.00,19.82,55.20,965.89,2
4/25/2013 17:56:33,4/25/2013,17:56:33,2.73,18.62,55.79,965.83,312
4/25/2013 17:56:48,4/25/2013,17:56:48,3.15,18.27,57.00,965.82,306
4/25/2013 17:57:03,4/25/2013,17:57:03,2.23,18.60,57.70,965.82,272
4/25/2013 17:57:18,4/25/2013,17:57:18,1.47,18.82,56.50,965.82,269
4/25/2013 17:57:33,4/25/2013,17:57:33,2.40,18.52,57.29,965.83,279
4/25/2013 17:57:48,4/25/2013,17:57:48,2.12,18.32,57.40,965.89,325
4/25/2013 17:58:03,4/25/2013,17:58:03,1.98,18.35,57.70,965.90,302
4/25/2013 17:58:18,4/25/2013,17:58:18,0.34,18.75,56.00,965.91,270
4/25/2013 17:58:33,4/25/2013,17:58:33,0.00,19.14,55.50,965.91,294
4/25/2013 17:58:48,4/25/2013,17:58:48,0.00,19.14,55.79,965.90,317
4/25/2013 17:59:03,4/25/2013,17:59:03,0.00,19.00,56.20,965.89,288
4/25/2013 17:59:18,4/25/2013,17:59:18,0.61,18.54,57.09,965.87,334
4/25/2013 17:59:33,4/25/2013,17:59:33,2.77,17.79,58.50,965.87,311
4/25/2013 17:59:48,4/25/2013,17:59:48,2.19,17.72,59.70,965.92,325
4/25/2013 18:00:03,4/25/2013,18:00:03,1.41,17.79,59.40,965.96,221
4/25/2013 18:00:18,4/25/2013,18:00:18,0.62,18.00,58.79,965.98,307
4/25/2013 18:00:33,4/25/2013,18:00:33,0.13,18.00,58.90,966.00,274
4/25/2013 18:00:48,4/25/2013,18:00:48,0.00,17.85,59.59,966.02,305
4/25/2013 18:01:03,4/25/2013,18:01:03,0.70,17.64,60.00,966.00,274
4/25/2013 18:01:18,4/25/2013,18:01:18,0.00,17.45,60.70,966.01,239
4/25/2013 18:01:33,4/25/2013,18:01:33,1.90,17.02,60.90,965.99,311
4/25/2013 18:01:48,4/25/2013,18:01:48,1.62,17.02,61.59,966.00,5
4/25/2013 18:02:03,4/25/2013,18:02:03,1.61,16.85,62.29,966.02,330
4/25/2013 18:02:18,4/25/2013,18:02:18,0.72,16.97,62.59,966.06,269
4/25/2013 18:02:33,4/25/2013,18:02:33,0.62,16.97,61.90,966.06,299
4/25/2013 18:02:48,4/25/2013,18:02:48,0.72,17.02,61.90,966.06,315
4/25/2013 18:03:03,4/25/2013,18:03:03,0.00,17.14,61.59,966.06,308
4/25/2013 18:03:18,4/25/2013,18:03:18,0.00,17.14,61.70,966.06,285
4/25/2013 18:03:33,4/25/2013,18:03:33,0.00,17.17,62.70,966.05,308
4/25/2013 18:03:48,4/25/2013,18:03:48,0.09,17.22,62.70,966.04,262
4/25/2013 18:04:03,4/25/2013,18:04:03,0.00,17.29,62.50,966.05,280
4/25/2013 18:04:18,4/25/2013,18:04:18,0.00,17.10,63.00,966.06,308
4/25/2013 18:04:33,4/25/2013,18:04:33,0.80,16.95,62.50,966.04,319
4/25/2013 18:04:48,4/25/2013,18:04:48,1.48,16.85,62.29,966.01,294
4/25/2013 18:05:03,4/25/2013,18:05:03,1.56,16.89,61.70,965.99,250
4/25/2013 18:05:18,4/25/2013,18:05:18,1.13,17.14,61.70,965.98,312
4/25/2013 18:05:33,4/25/2013,18:05:33,0.44,17.37,61.59,965.99,305
4/25/2013 18:05:48,4/25/2013,18:05:48,1.65,17.02,61.09,965.99,180
4/25/2013 18:06:03,4/25/2013,18:06:03,2.19,16.82,62.09,966.00,340
4/25/2013 18:06:18,4/25/2013,18:06:18,3.40,16.54,62.79,966.00,293
4/25/2013 18:06:33,4/25/2013,18:06:33,3.12,16.47,62.70,966.00,309
4/25/2013 18:06:48,4/25/2013,18:06:48,2.92,16.54,63.29,966.00,313
4/25/2013 18:07:03,4/25/2013,18:07:03,3.55,16.47,63.70,965.99,326
4/25/2013 18:07:18,4/25/2013,18:07:18,0.59,17.14,63.29,966.02,309
4/25/2013 18:07:33,4/25/2013,18:07:33,1.77,16.70,62.29,966.04,294
4/25/2013 18:07:48,4/25/2013,18:07:48,2.34,16.54,62.59,966.02,335
4/25/2013 18:08:03,4/25/2013,18:08:03,1.68,16.54,62.70,966.02,280
4/25/2013 18:08:18,4/25/2013,18:08:18,2.16,16.39,64.09,966.04,324
4/25/2013 18:08:33,4/25/2013,18:08:33,0.52,16.67,63.40,966.06,0
4/25/2013 18:08:48,4/25/2013,18:08:48,0.51,16.54,62.79,966.08,294
4/25/2013 18:09:03,4/25/2013,18:09:03,0.59,16.42,63.59,966.08,326
4/25/2013 18:09:18,4/25/2013,18:09:18,1.98,16.20,64.09,966.08,322
4/25/2013 18:09:33,4/25/2013,18:09:33,2.76,16.02,64.80,966.06,318
4/25/2013 18:09:48,4/25/2013,18:09:48,1.69,16.22,64.50,966.06,292
4/25/2013 18:10:03,4/25/2013,18:10:03,1.68,16.22,63.79,966.05,331
4/25/2013 18:10:18,4/25/2013,18:10:18,3.36,16.02,64.50,966.01,327
4/25/2013 18:10:33,4/25/2013,18:10:33,3.16,16.00,65.40,966.00,288
4/25/2013 18:10:48,4/25/2013,18:10:48,0.95,16.35,64.50,966.02,331
