DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
10/29/2013 12:54:11,10/29/2013,12:54:11,3.24,15.19,48.90,956.33,276
10/29/2013 12:54:41,10/29/2013,12:54:41,3.33,14.89,52.09,956.37,279
10/29/2013 12:55:11,10/29/2013,12:55:11,1.99,15.19,52.40,956.36,281
10/29/2013 12:55:41,10/29/2013,12:55:41,4.12,14.72,50.90,956.29,284
10/29/2013 12:56:11,10/29/2013,12:56:11,5.08,14.42,51.40,956.30,254
10/29/2013 12:56:41,10/29/2013,12:56:41,2.92,14.97,53.29,956.31,312
10/29/2013 12:57:11,10/29/2013,12:57:11,3.67,14.89,52.59,956.29,279
10/29/2013 12:57:41,10/29/2013,12:57:41,3.90,14.72,51.40,956.29,246
10/29/2013 12:58:11,10/29/2013,12:58:11,4.23,14.69,52.00,956.28,347
10/29/2013 12:58:41,10/29/2013,12:58:41,2.73,15.00,51.40,956.31,268
10/29/2013 12:59:11,10/29/2013,12:59:11,3.40,14.89,51.20,956.29,267
10/29/2013 12:59:41,10/29/2013,12:59:41,3.86,14.72,50.00,956.28,266
10/29/2013 13:00:11,10/29/2013,13:00:11,3.94,14.72,50.90,956.30,249
10/29/2013 13:00:41,10/29/2013,13:00:41,4.13,14.62,49.50,956.25,233
10/29/2013 13:01:11,10/29/2013,13:01:11,2.37,15.05,51.90,956.29,257
10/29/2013 13:01:41,10/29/2013,13:01:41,3.37,14.89,52.79,956.23,254
10/29/2013 13:02:11,10/29/2013,13:02:11,1.98,15.44,51.90,956.22,251
10/29/2013 13:02:41,10/29/2013,13:02:41,3.31,15.05,51.00,956.21,248
10/29/2013 13:03:11,10/29/2013,13:03:11,2.58,15.37,53.00,956.21,246
10/29/2013 13:03:41,10/29/2013,13:03:41,4.02,15.05,52.79,956.17,244
10/29/2013 13:04:11,10/29/2013,13:04:11,2.69,15.52,52.09,956.17,243
10/29/2013 13:04:41,10/29/2013,13:04:41,1.77,15.60,50.90,956.20,241
10/29/2013 13:05:11,10/29/2013,13:05:11,2.87,14.89,50.20,956.20,267
10/29/2013 13:05:41,10/29/2013,13:05:41,3.16,14.35,52.09,956.28,292
10/29/2013 13:06:11,10/29/2013,13:06:11,2.11,14.64,54.00,956.26,274
10/29/2013 13:06:41,10/29/2013,13:06:41,3.37,14.50,53.59,956.21,257
10/29/2013 13:07:11,10/29/2013,13:07:11,3.37,14.50,52.70,956.21,254
10/29/2013 13:07:41,10/29/2013,13:07:41,3.90,14.22,53.09,956.21,251
10/29/2013 13:08:11,10/29/2013,13:08:11,2.66,14.30,54.09,956.23,259
10/29/2013 13:08:41,10/29/2013,13:08:41,2.31,14.05,55.20,956.25,261
10/29/2013 13:09:11,10/29/2013,13:09:11,3.69,13.55,54.50,956.28,263
10/29/2013 13:09:41,10/29/2013,13:09:41,2.80,13.30,55.79,956.34,248
10/29/2013 13:10:11,10/29/2013,13:10:11,2.87,13.07,55.20,956.36,234
10/29/2013 13:10:41,10/29/2013,13:10:41,1.36,13.22,55.09,956.39,244
10/29/2013 13:11:11,10/29/2013,13:11:11,2.45,12.92,56.59,956.40,254
10/29/2013 13:11:41,10/29/2013,13:11:41,4.04,12.75,55.70,956.37,263
10/29/2013 13:12:11,10/29/2013,13:12:11,2.55,12.85,56.50,956.39,273
10/29/2013 13:12:41,10/29/2013,13:12:41,3.02,12.52,59.59,956.41,283
10/29/2013 13:13:11,10/29/2013,13:13:11,2.99,12.37,58.59,956.41,260
10/29/2013 13:13:41,10/29/2013,13:13:41,2.22,12.27,59.90,956.44,237
10/29/2013 13:14:11,10/29/2013,13:14:11,2.79,12.12,60.90,956.42,237
10/29/2013 13:14:41,10/29/2013,13:14:41,3.08,11.97,60.90,956.46,237
10/29/2013 13:15:11,10/29/2013,13:15:11,2.48,11.92,61.29,956.41,237
10/29/2013 13:15:41,10/29/2013,13:15:41,3.91,11.72,60.79,956.42,237
10/29/2013 13:16:11,10/29/2013,13:16:11,3.16,11.69,60.90,956.46,237
10/29/2013 13:16:41,10/29/2013,13:16:41,2.09,11.64,62.20,956.46,232
10/29/2013 13:17:11,10/29/2013,13:17:11,4.47,11.42,61.70,956.42,227
10/29/2013 13:17:41,10/29/2013,13:17:41,4.38,11.32,63.29,956.45,225
10/29/2013 13:18:11,10/29/2013,13:18:11,4.27,11.37,61.00,956.44,224
10/29/2013 13:18:41,10/29/2013,13:18:41,3.05,11.50,60.59,956.42,222
10/29/2013 13:19:11,10/29/2013,13:19:11,2.09,11.50,62.79,956.46,244
10/29/2013 13:19:41,10/29/2013,13:19:41,3.30,11.42,61.50,956.41,339
10/29/2013 13:20:11,10/29/2013,13:20:11,2.06,11.42,63.20,956.46,263
10/29/2013 13:20:41,10/29/2013,13:20:41,2.65,11.32,63.00,956.46,258
10/29/2013 13:21:11,10/29/2013,13:21:11,3.65,11.25,63.20,956.41,254
10/29/2013 13:21:41,10/29/2013,13:21:41,2.97,11.64,64.00,956.38,249
