DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[°C],[¡rH],[hPa],[¡N]
4/22/2013 12:45:27,4/22/2013,12:45:27,3.47,15.75,51.90,955.30,225
4/22/2013 12:45:42,4/22/2013,12:45:42,3.15,15.25,55.00,955.32,223
4/22/2013 12:45:57,4/22/2013,12:45:57,3.95,14.89,55.59,955.32,239
4/22/2013 12:46:12,4/22/2013,12:46:12,4.04,14.64,56.29,955.32,252
4/22/2013 12:46:27,4/22/2013,12:46:27,4.90,14.30,56.79,955.36,233
4/22/2013 12:46:42,4/22/2013,12:46:42,4.73,14.22,57.90,955.37,245
4/22/2013 12:46:57,4/22/2013,12:46:57,4.38,14.17,58.09,955.37,270
4/22/2013 12:47:12,4/22/2013,12:47:12,4.51,14.14,59.29,955.38,252
4/22/2013 12:47:27,4/22/2013,12:47:27,4.12,14.02,58.50,955.38,248
4/22/2013 12:47:42,4/22/2013,12:47:42,4.42,13.77,58.50,955.39,253
4/22/2013 12:47:57,4/22/2013,12:47:57,3.52,13.94,59.50,955.42,260
4/22/2013 12:48:12,4/22/2013,12:48:12,4.11,13.77,59.29,955.43,264
4/22/2013 12:48:27,4/22/2013,12:48:27,5.09,13.47,59.20,955.40,249
4/22/2013 12:48:42,4/22/2013,12:48:42,3.81,13.62,60.50,955.40,255
4/22/2013 12:48:57,4/22/2013,12:48:57,5.06,13.47,60.29,955.39,259
4/22/2013 12:49:12,4/22/2013,12:49:12,4.19,13.60,61.50,955.43,246
4/22/2013 12:49:27,4/22/2013,12:49:27,3.81,13.62,61.59,955.42,253
4/22/2013 12:49:42,4/22/2013,12:49:42,4.92,13.35,61.09,955.42,267
4/22/2013 12:49:57,4/22/2013,12:49:57,5.09,13.30,61.59,955.40,245
4/22/2013 12:50:12,4/22/2013,12:50:12,5.17,13.14,61.90,955.42,243
4/22/2013 12:50:27,4/22/2013,12:50:27,4.90,13.14,61.90,955.42,259
4/22/2013 12:50:42,4/22/2013,12:50:42,4.92,13.00,61.70,955.39,225
4/22/2013 12:50:57,4/22/2013,12:50:57,5.60,12.92,62.00,955.37,254
4/22/2013 12:51:12,4/22/2013,12:51:12,5.33,12.92,62.40,955.36,245
4/22/2013 12:51:27,4/22/2013,12:51:27,5.01,12.94,62.50,955.39,267
4/22/2013 12:51:42,4/22/2013,12:51:42,4.36,13.00,62.59,955.39,254
4/22/2013 12:51:57,4/22/2013,12:51:57,3.90,13.12,63.09,955.39,249
4/22/2013 12:52:12,4/22/2013,12:52:12,3.54,13.22,63.09,955.39,280
4/22/2013 12:52:27,4/22/2013,12:52:27,3.55,13.07,62.29,955.38,258
4/22/2013 12:52:42,4/22/2013,12:52:42,3.84,13.19,62.90,955.37,271
4/22/2013 12:52:57,4/22/2013,12:52:57,3.45,13.22,62.79,955.37,234
4/22/2013 12:53:12,4/22/2013,12:53:12,2.62,13.47,64.30,955.37,259
4/22/2013 12:53:27,4/22/2013,12:53:27,2.94,13.42,63.40,955.38,244
4/22/2013 12:53:42,4/22/2013,12:53:42,2.95,13.35,63.09,955.37,244
4/22/2013 12:53:57,4/22/2013,12:53:57,3.94,13.14,62.09,955.37,256
4/22/2013 12:54:12,4/22/2013,12:54:12,3.08,13.27,62.59,955.38,206
4/22/2013 12:54:27,4/22/2013,12:54:27,3.74,13.14,62.29,955.39,247
4/22/2013 12:54:42,4/22/2013,12:54:42,4.09,13.12,62.90,955.39,245
4/22/2013 12:54:57,4/22/2013,12:54:57,4.04,13.14,62.90,955.38,246
4/22/2013 12:55:12,4/22/2013,12:55:12,4.27,13.12,62.40,955.36,270
4/22/2013 12:55:27,4/22/2013,12:55:27,3.91,13.14,62.50,955.37,264
4/22/2013 12:55:42,4/22/2013,12:55:42,3.86,13.35,62.90,955.36,242
4/22/2013 12:55:57,4/22/2013,12:55:57,4.60,13.14,63.00,955.37,260
4/22/2013 12:56:12,4/22/2013,12:56:12,5.41,12.87,62.40,955.36,273
4/22/2013 12:56:27,4/22/2013,12:56:27,4.72,12.94,62.79,955.39,260
4/22/2013 12:56:42,4/22/2013,12:56:42,5.77,12.75,62.59,955.37,264
4/22/2013 12:56:57,4/22/2013,12:56:57,4.84,12.80,62.70,955.40,262
4/22/2013 12:57:12,4/22/2013,12:57:12,4.90,12.92,63.79,955.40,266
4/22/2013 12:57:27,4/22/2013,12:57:27,3.74,13.19,64.40,955.44,261
4/22/2013 12:57:42,4/22/2013,12:57:42,3.73,13.07,63.29,955.42,253
4/22/2013 12:57:57,4/22/2013,12:57:57,5.49,12.85,63.20,955.37,249
4/22/2013 12:58:12,4/22/2013,12:58:12,5.10,12.85,62.90,955.39,252
4/22/2013 12:58:27,4/22/2013,12:58:27,4.26,12.92,63.20,955.39,247
4/22/2013 12:58:42,4/22/2013,12:58:42,3.66,12.94,63.70,955.38,241
4/22/2013 12:58:57,4/22/2013,12:58:57,4.81,12.85,64.59,955.36,255
4/22/2013 12:59:12,4/22/2013,12:59:12,4.97,12.67,63.00,955.37,275
4/22/2013 12:59:27,4/22/2013,12:59:27,4.91,12.67,63.20,955.38,259
4/22/2013 12:59:42,4/22/2013,12:59:42,4.66,12.60,63.09,955.39,268
4/22/2013 12:59:57,4/22/2013,12:59:57,3.54,12.75,64.09,955.37,263
4/22/2013 13:00:12,4/22/2013,13:00:12,4.97,12.60,63.50,955.36,278
4/22/2013 13:00:27,4/22/2013,13:00:27,4.94,12.47,63.50,955.34,269
4/22/2013 13:00:42,4/22/2013,13:00:42,5.04,12.64,64.30,955.35,263
4/22/2013 13:00:57,4/22/2013,13:00:57,4.63,12.60,63.70,955.37,291
4/22/2013 13:01:12,4/22/2013,13:01:12,4.42,12.55,63.70,955.36,250
4/22/2013 13:01:27,4/22/2013,13:01:27,4.52,12.55,63.90,955.36,271
4/22/2013 13:01:42,4/22/2013,13:01:42,3.97,12.60,63.79,955.35,268
4/22/2013 13:01:57,4/22/2013,13:01:57,4.13,12.55,64.09,955.34,269
4/22/2013 13:02:12,4/22/2013,13:02:12,4.34,12.52,64.30,955.35,264
4/22/2013 13:02:27,4/22/2013,13:02:27,3.52,12.67,65.19,955.32,252
4/22/2013 13:02:42,4/22/2013,13:02:42,3.88,12.55,65.00,955.31,255
4/22/2013 13:02:57,4/22/2013,13:02:57,4.06,12.55,65.50,955.31,249
4/22/2013 13:03:12,4/22/2013,13:03:12,3.67,12.55,65.19,955.31,250
4/22/2013 13:03:27,4/22/2013,13:03:27,3.91,12.44,64.69,955.31,235
4/22/2013 13:03:42,4/22/2013,13:03:42,4.23,12.37,64.80,955.29,220
4/22/2013 13:03:57,4/22/2013,13:03:57,4.41,12.37,65.59,955.29,254
4/22/2013 13:04:12,4/22/2013,13:04:12,3.99,12.44,65.50,955.29,250
4/22/2013 13:04:27,4/22/2013,13:04:27,4.08,12.39,65.40,955.30,255
4/22/2013 13:04:42,4/22/2013,13:04:42,3.69,12.44,65.90,955.29,244
4/22/2013 13:04:57,4/22/2013,13:04:57,5.70,12.19,65.69,955.24,243
4/22/2013 13:05:12,4/22/2013,13:05:12,5.97,12.12,65.69,955.23,266
4/22/2013 13:05:27,4/22/2013,13:05:27,5.60,12.19,66.19,955.24,248
4/22/2013 13:05:42,4/22/2013,13:05:42,3.99,12.32,66.50,955.26,255
4/22/2013 13:05:57,4/22/2013,13:05:57,4.52,12.27,66.30,955.24,260
4/22/2013 13:06:12,4/22/2013,13:06:12,5.26,12.17,66.19,955.21,250
4/22/2013 13:06:27,4/22/2013,13:06:27,4.94,12.19,67.30,955.24,242
4/22/2013 13:06:42,4/22/2013,13:06:42,5.06,12.19,66.90,955.28,252
4/22/2013 13:06:57,4/22/2013,13:06:57,3.99,12.27,67.09,955.27,236
4/22/2013 13:07:12,4/22/2013,13:07:12,4.38,12.25,66.69,955.28,247
4/22/2013 13:07:27,4/22/2013,13:07:27,6.06,12.12,66.59,955.22,257
4/22/2013 13:07:42,4/22/2013,13:07:42,4.98,12.17,66.69,955.22,248
4/22/2013 13:07:57,4/22/2013,13:07:57,3.73,12.32,67.50,955.26,245
4/22/2013 13:08:12,4/22/2013,13:08:12,4.49,12.12,66.50,955.29,241
4/22/2013 13:08:27,4/22/2013,13:08:27,3.70,12.27,67.50,955.27,252
4/22/2013 13:08:42,4/22/2013,13:08:42,3.58,12.25,67.19,955.26,254
4/22/2013 13:08:57,4/22/2013,13:08:57,3.01,12.27,67.30,955.27,257
4/22/2013 13:09:12,4/22/2013,13:09:12,3.40,12.37,67.69,955.26,269
4/22/2013 13:09:27,4/22/2013,13:09:27,4.15,12.17,66.69,955.26,238
4/22/2013 13:09:42,4/22/2013,13:09:42,5.87,12.00,66.59,955.24,239
4/22/2013 13:09:57,4/22/2013,13:09:57,5.69,11.97,66.90,955.20,244
4/22/2013 13:10:12,4/22/2013,13:10:12,4.51,12.00,67.09,955.26,255
4/22/2013 13:10:27,4/22/2013,13:10:27,4.80,11.97,67.19,955.24,249
4/22/2013 13:10:42,4/22/2013,13:10:42,5.13,11.92,67.19,955.22,252
4/22/2013 13:10:57,4/22/2013,13:10:57,5.79,11.80,66.80,955.19,242
4/22/2013 13:11:12,4/22/2013,13:11:12,5.08,11.89,67.69,955.20,254
4/22/2013 13:11:27,4/22/2013,13:11:27,7.16,11.64,66.69,955.18,206
4/22/2013 13:11:42,4/22/2013,13:11:42,6.87,11.64,67.09,955.13,252
