DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[DD/MM/YYYY hh:mm:ss],[DD/MM/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
5/14/2013 15:40:55,5/14/2013,15:40:55,0.70,28.29,32.40,957.95,230
5/14/2013 15:41:10,5/14/2013,15:41:10,1.52,27.60,36.29,958.06,215
5/14/2013 15:41:25,5/14/2013,15:41:25,2.92,26.64,35.09,958.08,278
5/14/2013 15:41:40,5/14/2013,15:41:40,4.88,25.35,36.40,958.13,265
5/14/2013 15:41:55,5/14/2013,15:41:55,3.98,25.67,37.29,958.19,256
5/14/2013 15:42:10,5/14/2013,15:42:10,3.98,25.79,37.59,958.23,230
5/14/2013 15:42:25,5/14/2013,15:42:25,3.42,25.60,36.59,958.27,269
5/14/2013 15:42:40,5/14/2013,15:42:40,2.16,26.22,36.59,958.27,253
5/14/2013 15:42:55,5/14/2013,15:42:55,3.41,25.72,36.90,958.27,187
5/14/2013 15:43:10,5/14/2013,15:43:10,3.40,25.82,38.09,958.27,308
5/14/2013 15:43:25,5/14/2013,15:43:25,2.62,26.07,36.79,958.29,263
5/14/2013 15:43:40,5/14/2013,15:43:40,3.62,25.35,36.40,958.32,270
5/14/2013 15:43:55,5/14/2013,15:43:55,3.16,25.60,38.00,958.32,261
5/14/2013 15:44:10,5/14/2013,15:44:10,2.44,25.75,37.79,958.32,240
5/14/2013 15:44:25,5/14/2013,15:44:25,2.27,25.79,36.79,958.31,244
5/14/2013 15:44:40,5/14/2013,15:44:40,2.87,24.97,37.59,958.32,251
5/14/2013 15:44:55,5/14/2013,15:44:55,1.68,25.52,38.09,958.34,284
5/14/2013 15:45:10,5/14/2013,15:45:10,2.09,25.04,37.70,958.38,282
5/14/2013 15:45:25,5/14/2013,15:45:25,2.67,24.72,39.79,958.35,228
5/14/2013 15:45:40,5/14/2013,15:45:40,5.29,23.52,40.50,958.34,231
5/14/2013 15:45:55,5/14/2013,15:45:55,4.13,23.47,41.79,958.42,240
5/14/2013 15:46:10,5/14/2013,15:46:10,5.27,23.00,42.29,958.47,243
5/14/2013 15:46:25,5/14/2013,15:46:25,5.16,23.14,43.09,958.48,277
5/14/2013 15:46:40,5/14/2013,15:46:40,3.40,23.54,42.29,958.51,312
5/14/2013 15:46:55,5/14/2013,15:46:55,1.36,24.37,41.00,958.51,319
5/14/2013 15:47:10,5/14/2013,15:47:10,1.88,24.35,40.00,958.46,253
5/14/2013 15:47:25,5/14/2013,15:47:25,3.51,23.70,39.90,958.41,285
5/14/2013 15:47:40,5/14/2013,15:47:40,2.55,24.22,41.29,958.44,301
5/14/2013 15:47:55,5/14/2013,15:47:55,2.20,24.29,40.50,958.44,208
5/14/2013 15:48:10,5/14/2013,15:48:10,4.02,23.82,41.50,958.42,250
5/14/2013 15:48:25,5/14/2013,15:48:25,5.29,23.47,40.70,958.40,266
5/14/2013 15:48:40,5/14/2013,15:48:40,2.26,24.45,41.29,958.42,213
5/14/2013 15:48:55,5/14/2013,15:48:55,3.26,24.10,40.20,958.39,250
5/14/2013 15:49:10,5/14/2013,15:49:10,2.92,24.37,40.09,958.38,246
5/14/2013 15:49:25,5/14/2013,15:49:25,2.80,24.37,39.79,958.34,254
5/14/2013 15:49:40,5/14/2013,15:49:40,3.23,24.25,39.90,958.32,238
5/14/2013 15:49:55,5/14/2013,15:49:55,5.27,23.82,41.09,958.27,204
5/14/2013 15:50:10,5/14/2013,15:50:10,6.17,23.47,40.59,958.29,237
5/14/2013 15:50:25,5/14/2013,15:50:25,4.22,23.87,40.79,958.36,250
5/14/2013 15:50:40,5/14/2013,15:50:40,4.20,23.95,41.70,958.33,224
5/14/2013 15:50:55,5/14/2013,15:50:55,4.47,24.10,42.09,958.29,259
5/14/2013 15:51:10,5/14/2013,15:51:10,4.19,24.22,41.29,958.28,228
5/14/2013 15:51:25,5/14/2013,15:51:25,4.22,24.10,41.29,958.26,235
5/14/2013 15:51:40,5/14/2013,15:51:40,3.31,24.50,42.29,958.28,240
5/14/2013 15:51:55,5/14/2013,15:51:55,3.52,24.35,39.29,958.28,271
5/14/2013 15:52:10,5/14/2013,15:52:10,4.77,23.89,39.40,958.24,247
5/14/2013 15:52:25,5/14/2013,15:52:25,5.95,23.70,41.20,958.21,231
5/14/2013 15:52:40,5/14/2013,15:52:40,6.06,23.75,40.59,958.26,297
5/14/2013 15:52:55,5/14/2013,15:52:55,3.72,24.35,40.09,958.32,262
5/14/2013 15:53:10,5/14/2013,15:53:10,3.22,24.42,39.29,958.33,291
5/14/2013 15:53:25,5/14/2013,15:53:25,1.84,25.04,39.50,958.31,235
5/14/2013 15:53:40,5/14/2013,15:53:40,1.90,25.27,39.40,958.27,258
5/14/2013 15:53:55,5/14/2013,15:53:55,3.34,24.50,38.09,958.23,282
5/14/2013 15:54:10,5/14/2013,15:54:10,2.23,25.04,38.59,958.24,217
5/14/2013 15:54:25,5/14/2013,15:54:25,3.59,24.92,39.79,958.25,257
5/14/2013 15:54:40,5/14/2013,15:54:40,3.94,24.85,38.79,958.27,262
5/14/2013 15:54:55,5/14/2013,15:54:55,3.54,24.77,39.09,958.29,286
5/14/2013 15:55:10,5/14/2013,15:55:10,4.42,24.42,39.50,958.28,210
5/14/2013 15:55:25,5/14/2013,15:55:25,4.40,24.52,39.29,958.27,290
5/14/2013 15:55:40,5/14/2013,15:55:40,4.42,24.37,39.29,958.25,219
5/14/2013 15:55:55,5/14/2013,15:55:55,3.38,24.57,39.90,958.25,288
5/14/2013 15:56:10,5/14/2013,15:56:10,2.95,25.04,39.70,958.24,269
5/14/2013 15:56:25,5/14/2013,15:56:25,4.59,24.25,38.40,958.20,216
5/14/2013 15:56:40,5/14/2013,15:56:40,2.90,24.72,39.29,958.24,282
5/14/2013 15:56:55,5/14/2013,15:56:55,3.34,24.50,38.90,958.21,350
5/14/2013 15:57:10,5/14/2013,15:57:10,2.30,24.97,39.79,958.24,244
5/14/2013 15:57:25,5/14/2013,15:57:25,4.45,24.79,40.90,958.15,282
5/14/2013 15:57:40,5/14/2013,15:57:40,4.01,24.25,39.79,958.17,334
5/14/2013 15:57:55,5/14/2013,15:57:55,0.84,25.60,39.09,958.19,208
5/14/2013 15:58:10,5/14/2013,15:58:10,1.16,25.45,37.09,958.12,277
5/14/2013 15:58:25,5/14/2013,15:58:25,1.86,25.32,38.40,958.09,293
5/14/2013 15:58:40,5/14/2013,15:58:40,1.62,25.17,38.50,958.08,306
5/14/2013 15:58:55,5/14/2013,15:58:55,2.31,25.04,39.00,958.10,316
5/14/2013 15:59:10,5/14/2013,15:59:10,0.65,25.82,38.20,958.08,273
5/14/2013 15:59:25,5/14/2013,15:59:25,1.15,25.52,38.09,958.08,260
5/14/2013 15:59:40,5/14/2013,15:59:40,2.48,25.25,38.90,958.09,278
5/14/2013 15:59:55,5/14/2013,15:59:55,3.41,24.92,38.79,958.04,255
5/14/2013 16:00:10,5/14/2013,16:00:10,3.31,24.89,39.29,958.03,237
5/14/2013 16:00:25,5/14/2013,16:00:25,4.56,24.42,39.00,958.00,228
5/14/2013 16:00:40,5/14/2013,16:00:40,4.59,24.50,40.20,957.98,211
5/14/2013 16:00:55,5/14/2013,16:00:55,3.87,24.52,39.29,958.01,286
5/14/2013 16:01:10,5/14/2013,16:01:10,3.15,24.70,38.90,958.03,238
5/14/2013 16:01:25,5/14/2013,16:01:25,3.23,24.70,39.40,958.02,293
5/14/2013 16:01:40,5/14/2013,16:01:40,2.20,25.17,38.70,958.02,229
5/14/2013 16:01:55,5/14/2013,16:01:55,2.47,25.07,39.00,958.03,303
5/14/2013 16:02:10,5/14/2013,16:02:10,2.09,25.07,37.59,958.03,250
5/14/2013 16:02:25,5/14/2013,16:02:25,3.80,24.42,38.20,958.03,262
5/14/2013 16:02:40,5/14/2013,16:02:40,2.44,24.89,38.09,958.02,264
5/14/2013 16:02:55,5/14/2013,16:02:55,1.73,25.25,38.79,958.00,300
5/14/2013 16:03:10,5/14/2013,16:03:10,2.26,24.92,37.59,957.97,304
5/14/2013 16:03:25,5/14/2013,16:03:25,3.16,24.52,38.40,957.98,286
5/14/2013 16:03:40,5/14/2013,16:03:40,3.17,24.29,38.40,958.00,350
5/14/2013 16:03:55,5/14/2013,16:03:55,2.72,24.72,41.29,958.02,232
5/14/2013 16:04:10,5/14/2013,16:04:10,3.20,24.57,39.09,958.04,278
5/14/2013 16:04:25,5/14/2013,16:04:25,2.09,25.07,39.09,958.05,294
5/14/2013 16:04:40,5/14/2013,16:04:40,2.84,24.79,40.20,958.02,244
5/14/2013 16:04:55,5/14/2013,16:04:55,2.87,24.79,39.09,958.02,234
5/14/2013 16:05:10,5/14/2013,16:05:10,4.05,24.07,38.59,958.02,287
5/14/2013 16:05:25,5/14/2013,16:05:25,4.30,24.14,39.90,958.01,250
5/14/2013 16:05:40,5/14/2013,16:05:40,3.81,24.35,40.59,958.00,207
