DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
10/13/2013 17:35:26,10/13/2013,17:35:26,0.00,7.57,68.90,974.03,16
10/13/2013 17:35:56,10/13/2013,17:35:56,0.00,7.50,68.30,974.01,16
10/13/2013 17:36:26,10/13/2013,17:36:26,0.00,7.42,68.09,974.00,16
10/13/2013 17:36:56,10/13/2013,17:36:56,0.00,7.34,68.09,974.03,16
10/13/2013 17:37:26,10/13/2013,17:37:26,0.00,7.30,68.19,974.01,24
10/13/2013 17:37:56,10/13/2013,17:37:56,0.00,7.22,68.30,974.00,115
10/13/2013 17:38:26,10/13/2013,17:38:26,0.00,7.15,68.40,973.99,115
10/13/2013 17:38:56,10/13/2013,17:38:56,0.00,7.07,68.09,973.99,69
10/13/2013 17:39:26,10/13/2013,17:39:26,0.00,7.00,67.59,974.00,69
10/13/2013 17:39:56,10/13/2013,17:39:56,0.00,6.87,67.30,974.01,344
10/13/2013 17:40:26,10/13/2013,17:40:26,0.00,6.75,67.59,974.04,339
10/13/2013 17:40:56,10/13/2013,17:40:56,0.00,6.59,67.30,974.05,342
10/13/2013 17:41:26,10/13/2013,17:41:26,0.00,6.47,67.90,974.04,336
10/13/2013 17:41:56,10/13/2013,17:41:56,0.00,6.34,69.00,974.05,303
10/13/2013 17:42:26,10/13/2013,17:42:26,0.00,6.32,69.90,974.06,293
10/13/2013 17:42:56,10/13/2013,17:42:56,0.00,6.27,70.09,974.06,293
10/13/2013 17:43:26,10/13/2013,17:43:26,0.00,6.27,70.19,974.07,266
10/13/2013 17:43:56,10/13/2013,17:43:56,0.00,6.19,70.00,974.11,268
10/13/2013 17:44:26,10/13/2013,17:44:26,0.00,6.19,70.00,974.07,325
10/13/2013 17:44:56,10/13/2013,17:44:56,0.00,6.05,68.80,974.10,352
10/13/2013 17:45:26,10/13/2013,17:45:26,0.00,6.00,69.00,974.11,350
10/13/2013 17:45:56,10/13/2013,17:45:56,0.00,5.94,69.90,974.10,350
10/13/2013 17:46:26,10/13/2013,17:46:26,0.00,5.87,70.30,974.07,350
10/13/2013 17:46:56,10/13/2013,17:46:56,0.00,5.80,70.59,974.07,350
10/13/2013 17:47:26,10/13/2013,17:47:26,0.00,5.75,70.69,974.10,350
10/13/2013 17:47:56,10/13/2013,17:47:56,0.00,5.80,71.50,974.13,350
10/13/2013 17:48:26,10/13/2013,17:48:26,0.00,5.72,72.40,974.15,350
10/13/2013 17:48:56,10/13/2013,17:48:56,0.00,5.75,73.09,974.15,349
10/13/2013 17:49:26,10/13/2013,17:49:26,0.00,5.72,73.19,974.17,349
10/13/2013 17:49:56,10/13/2013,17:49:56,0.00,5.65,73.00,974.13,348
10/13/2013 17:50:26,10/13/2013,17:50:26,0.00,5.65,73.00,974.15,348
10/13/2013 17:50:56,10/13/2013,17:50:56,0.00,5.65,72.80,974.18,336
10/13/2013 17:51:26,10/13/2013,17:51:26,0.00,5.57,72.40,974.19,336
10/13/2013 17:51:56,10/13/2013,17:51:56,0.00,5.47,72.40,974.20,335
10/13/2013 17:52:26,10/13/2013,17:52:26,0.00,5.47,72.19,974.20,334
10/13/2013 17:52:56,10/13/2013,17:52:56,0.00,5.40,72.00,974.20,338
10/13/2013 17:53:26,10/13/2013,17:53:26,0.00,5.32,72.09,974.21,337
10/13/2013 17:53:56,10/13/2013,17:53:56,0.00,5.32,72.19,974.20,338
10/13/2013 17:54:26,10/13/2013,17:54:26,0.00,5.25,72.30,974.24,350
10/13/2013 17:54:56,10/13/2013,17:54:56,0.00,5.12,71.80,974.25,353
10/13/2013 17:55:26,10/13/2013,17:55:26,0.00,5.17,71.80,974.28,355
10/13/2013 17:55:56,10/13/2013,17:55:56,0.00,5.05,71.69,974.27,353
10/13/2013 17:56:26,10/13/2013,17:56:26,0.00,5.07,72.30,974.32,352
10/13/2013 17:56:56,10/13/2013,17:56:56,0.00,5.00,72.19,974.32,358
10/13/2013 17:57:26,10/13/2013,17:57:26,0.00,5.00,72.30,974.31,358
10/13/2013 17:57:56,10/13/2013,17:57:56,0.00,5.00,72.40,974.31,358
10/13/2013 17:58:26,10/13/2013,17:58:26,0.00,5.00,72.80,974.29,19
10/13/2013 17:58:56,10/13/2013,17:58:56,0.00,5.00,73.19,974.27,23
10/13/2013 17:59:26,10/13/2013,17:59:26,0.00,5.00,73.40,974.22,23
10/13/2013 17:59:56,10/13/2013,17:59:56,0.00,5.00,73.50,974.22,104
10/13/2013 18:00:26,10/13/2013,18:00:26,0.00,5.00,73.69,974.21,117
10/13/2013 18:00:56,10/13/2013,18:00:56,0.00,4.97,74.00,974.21,143
10/13/2013 18:01:26,10/13/2013,18:01:26,0.00,4.92,74.09,974.20,144
10/13/2013 18:01:56,10/13/2013,18:01:56,0.00,4.97,74.19,974.22,143
10/13/2013 18:02:26,10/13/2013,18:02:26,0.00,4.97,74.40,974.24,165
10/13/2013 18:02:56,10/13/2013,18:02:56,0.00,4.92,74.80,974.25,164
10/13/2013 18:03:26,10/13/2013,18:03:26,0.00,4.92,74.90,974.26,164
10/13/2013 18:03:56,10/13/2013,18:03:56,0.00,4.92,75.00,974.25,164
10/13/2013 18:04:26,10/13/2013,18:04:26,0.00,4.90,75.09,974.28,165
10/13/2013 18:04:56,10/13/2013,18:04:56,0.00,4.84,75.09,974.29,164
10/13/2013 18:05:26,10/13/2013,18:05:26,0.00,4.77,74.69,974.32,313
10/13/2013 18:05:56,10/13/2013,18:05:56,0.00,4.77,74.50,974.33,211
10/13/2013 18:06:26,10/13/2013,18:06:26,0.00,4.72,74.50,974.35,211
