DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[HH:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
4/29/2013 11:24:31,4/29/2013,11:24:31,1.59,16.85,44.20,960.59,298
4/29/2013 11:24:46,4/29/2013,11:24:46,3.40,15.27,46.09,960.64,286
4/29/2013 11:25:01,4/29/2013,11:25:01,4.54,14.52,48.50,960.70,287
4/29/2013 11:25:16,4/29/2013,11:25:16,3.80,14.52,52.00,960.75,292
4/29/2013 11:25:31,4/29/2013,11:25:31,4.97,13.69,49.90,960.78,281
4/29/2013 11:25:46,4/29/2013,11:25:46,3.79,13.75,51.20,960.82,284
4/29/2013 11:26:01,4/29/2013,11:26:01,2.81,13.62,50.20,960.90,293
4/29/2013 11:26:16,4/29/2013,11:26:16,1.69,13.94,49.79,960.94,280
4/29/2013 11:26:31,4/29/2013,11:26:31,2.23,13.82,52.09,960.94,270
4/29/2013 11:26:46,4/29/2013,11:26:46,2.11,13.69,53.40,960.94,280
4/29/2013 11:27:01,4/29/2013,11:27:01,2.79,13.30,52.09,960.96,310
4/29/2013 11:27:16,4/29/2013,11:27:16,1.76,13.47,49.79,961.00,305
4/29/2013 11:27:31,4/29/2013,11:27:31,1.58,13.47,50.70,961.00,289
4/29/2013 11:27:46,4/29/2013,11:27:46,0.98,14.05,51.90,961.00,320
4/29/2013 11:28:01,4/29/2013,11:28:01,1.62,13.87,49.59,960.95,296
4/29/2013 11:28:16,4/29/2013,11:28:16,1.97,13.87,48.79,960.94,323
4/29/2013 11:28:31,4/29/2013,11:28:31,1.69,13.77,47.70,960.90,274
4/29/2013 11:28:46,4/29/2013,11:28:46,1.52,14.02,47.59,960.89,329
4/29/2013 11:29:01,4/29/2013,11:29:01,1.52,14.42,49.59,960.86,270
4/29/2013 11:29:16,4/29/2013,11:29:16,1.81,14.35,49.50,960.86,263
4/29/2013 11:29:31,4/29/2013,11:29:31,2.31,14.42,50.29,960.84,319
4/29/2013 11:29:46,4/29/2013,11:29:46,1.77,14.89,52.09,960.84,318
4/29/2013 11:30:01,4/29/2013,11:30:01,0.97,15.32,50.29,960.80,324
4/29/2013 11:30:16,4/29/2013,11:30:16,2.44,14.57,47.09,960.81,274
4/29/2013 11:30:31,4/29/2013,11:30:31,3.08,14.42,48.50,960.78,340
4/29/2013 11:30:46,4/29/2013,11:30:46,3.47,14.10,48.00,960.78,2
4/29/2013 11:31:01,4/29/2013,11:31:01,1.84,14.89,52.79,960.80,263
4/29/2013 11:31:16,4/29/2013,11:31:16,0.19,15.55,50.59,960.85,274
4/29/2013 11:31:31,4/29/2013,11:31:31,2.97,14.42,48.79,960.84,293
4/29/2013 11:31:46,4/29/2013,11:31:46,3.72,13.97,51.00,960.85,271
4/29/2013 11:32:01,4/29/2013,11:32:01,2.54,14.17,51.50,960.86,293
4/29/2013 11:32:16,4/29/2013,11:32:16,2.99,13.94,50.70,960.88,267
4/29/2013 11:32:31,4/29/2013,11:32:31,2.58,14.05,49.90,960.89,275
4/29/2013 11:32:46,4/29/2013,11:32:46,2.52,14.42,51.70,960.86,246
4/29/2013 11:33:01,4/29/2013,11:33:01,1.12,15.25,55.00,960.87,312
4/29/2013 11:33:16,4/29/2013,11:33:16,0.81,15.37,50.00,960.87,262
4/29/2013 11:33:31,4/29/2013,11:33:31,1.97,14.89,49.59,960.86,270
4/29/2013 11:33:46,4/29/2013,11:33:46,2.16,14.77,50.79,960.90,2
4/29/2013 11:34:01,4/29/2013,11:34:01,2.16,14.52,48.00,960.88,341
4/29/2013 11:34:16,4/29/2013,11:34:16,1.55,14.50,48.79,960.94,289
4/29/2013 11:34:31,4/29/2013,11:34:31,3.65,13.55,49.09,960.94,259
4/29/2013 11:34:46,4/29/2013,11:34:46,4.12,13.35,50.40,960.97,282
4/29/2013 11:35:01,4/29/2013,11:35:01,3.34,13.30,50.70,961.01,286
4/29/2013 11:35:16,4/29/2013,11:35:16,2.69,13.39,51.50,961.03,276
4/29/2013 11:35:31,4/29/2013,11:35:31,2.99,13.22,50.20,961.07,291
4/29/2013 11:35:46,4/29/2013,11:35:46,4.90,12.85,51.00,961.03,267
4/29/2013 11:36:01,4/29/2013,11:36:01,3.45,13.02,51.70,961.05,275
4/29/2013 11:36:16,4/29/2013,11:36:16,3.36,13.12,52.09,961.05,254
4/29/2013 11:36:31,4/29/2013,11:36:31,2.24,13.50,53.40,961.07,269
4/29/2013 11:36:46,4/29/2013,11:36:46,2.16,13.47,52.59,961.07,282
4/29/2013 11:37:01,4/29/2013,11:37:01,2.18,13.77,56.09,961.07,292
4/29/2013 11:37:16,4/29/2013,11:37:16,2.04,13.82,55.20,961.04,244
4/29/2013 11:37:31,4/29/2013,11:37:31,2.77,13.42,51.59,961.02,269
4/29/2013 11:37:46,4/29/2013,11:37:46,2.42,13.60,53.50,961.02,290
4/29/2013 11:38:01,4/29/2013,11:38:01,2.84,13.50,54.50,961.01,262
4/29/2013 11:38:16,4/29/2013,11:38:16,3.12,13.22,52.79,961.02,281
4/29/2013 11:38:31,4/29/2013,11:38:31,2.37,13.39,53.79,961.04,268
4/29/2013 11:38:46,4/29/2013,11:38:46,2.27,13.42,52.40,961.05,273
4/29/2013 11:39:01,4/29/2013,11:39:01,2.42,13.22,51.50,961.05,271
4/29/2013 11:39:16,4/29/2013,11:39:16,1.79,13.50,52.90,961.08,278
4/29/2013 11:39:31,4/29/2013,11:39:31,0.55,13.82,49.79,961.09,280
4/29/2013 11:39:46,4/29/2013,11:39:46,0.23,13.77,49.70,961.10,274
4/29/2013 11:40:01,4/29/2013,11:40:01,0.24,14.02,52.40,961.09,254
4/29/2013 11:40:16,4/29/2013,11:40:16,1.30,13.94,54.50,961.08,270
4/29/2013 11:40:31,4/29/2013,11:40:31,3.02,13.47,53.40,961.05,266
4/29/2013 11:40:46,4/29/2013,11:40:46,3.92,13.22,53.50,961.00,264
4/29/2013 11:41:01,4/29/2013,11:41:01,2.79,13.77,56.59,961.01,273
4/29/2013 11:41:16,4/29/2013,11:41:16,4.31,13.22,52.79,960.98,267
4/29/2013 11:41:31,4/29/2013,11:41:31,4.80,13.14,53.00,960.98,300
4/29/2013 11:41:46,4/29/2013,11:41:46,3.44,13.47,53.00,961.00,259
4/29/2013 11:42:01,4/29/2013,11:42:01,4.49,13.14,52.20,960.97,256
4/29/2013 11:42:16,4/29/2013,11:42:16,3.69,13.42,53.40,960.98,268
4/29/2013 11:42:31,4/29/2013,11:42:31,4.97,13.07,51.79,960.94,258
4/29/2013 11:42:46,4/29/2013,11:42:46,5.02,13.07,51.90,960.94,275
4/29/2013 11:43:01,4/29/2013,11:43:01,4.74,12.94,51.00,960.97,302
4/29/2013 11:43:16,4/29/2013,11:43:16,4.17,12.94,51.29,961.00,271
4/29/2013 11:43:31,4/29/2013,11:43:31,2.76,13.39,53.59,961.01,271
4/29/2013 11:43:46,4/29/2013,11:43:46,2.52,13.69,56.29,961.01,244
4/29/2013 11:44:01,4/29/2013,11:44:01,3.52,13.22,53.29,961.01,286
