DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s),[¡C],[%rH],[hPa],[¡N]
2/7/2014 14:09:18,2/7/2014,14:09:18,1.72,16.75,74.69,938.69,242
2/7/2014 14:09:35,2/7/2014,14:09:35,2.12,13.30,52.09,938.75,232
2/7/2014 14:10:05,2/7/2014,14:10:05,2.47,13.30,49.59,938.74,255
2/7/2014 14:10:35,2/7/2014,14:10:35,1.58,13.60,51.90,938.76,230
2/7/2014 14:11:05,2/7/2014,14:11:05,1.06,13.94,51.40,938.76,249
2/7/2014 14:11:35,2/7/2014,14:11:35,1.88,13.62,52.00,938.78,259
2/7/2014 14:12:05,2/7/2014,14:12:05,1.59,13.87,50.70,938.76,257
2/7/2014 14:12:35,2/7/2014,14:12:35,3.20,13.30,49.90,938.74,240
2/7/2014 14:13:05,2/7/2014,14:13:05,1.62,13.77,49.59,938.75,241
2/7/2014 14:13:35,2/7/2014,14:13:35,1.45,13.94,51.29,938.81,245
2/7/2014 14:14:05,2/7/2014,14:14:05,1.72,13.94,49.09,938.82,241
2/7/2014 14:14:35,2/7/2014,14:14:35,3.33,13.39,49.90,938.79,238
2/7/2014 14:15:05,2/7/2014,14:15:05,2.76,13.55,49.79,938.84,215
2/7/2014 14:15:35,2/7/2014,14:15:35,2.70,13.47,51.79,938.87,221
2/7/2014 14:16:05,2/7/2014,14:16:05,3.36,13.14,50.40,938.84,237
2/7/2014 14:16:35,2/7/2014,14:16:35,2.77,13.22,50.70,938.86,234
2/7/2014 14:17:05,2/7/2014,14:17:05,2.18,13.47,51.00,938.88,235
2/7/2014 14:17:35,2/7/2014,14:17:35,2.62,13.30,50.20,938.92,261
2/7/2014 14:18:05,2/7/2014,14:18:05,3.84,12.52,52.59,938.95,235
2/7/2014 14:18:35,2/7/2014,14:18:35,3.76,12.37,53.00,938.96,234
2/7/2014 14:19:05,2/7/2014,14:19:05,3.36,12.05,53.90,939.04,249
2/7/2014 14:19:35,2/7/2014,14:19:35,2.37,11.80,55.29,939.13,240
2/7/2014 14:20:05,2/7/2014,14:20:05,2.06,11.57,56.70,939.16,235
2/7/2014 14:20:35,2/7/2014,14:20:35,2.87,11.44,56.59,939.15,240
2/7/2014 14:21:05,2/7/2014,14:21:05,2.06,11.72,56.29,939.14,235
2/7/2014 14:21:35,2/7/2014,14:21:35,1.69,11.77,56.79,939.16,238
2/7/2014 14:22:05,2/7/2014,14:22:05,2.54,11.25,57.50,939.18,238
2/7/2014 14:22:35,2/7/2014,14:22:35,3.83,10.67,55.50,939.21,251
2/7/2014 14:23:05,2/7/2014,14:23:05,3.61,10.35,56.59,939.25,252
2/7/2014 14:23:35,2/7/2014,14:23:35,2.87,10.14,58.00,939.28,253
2/7/2014 14:24:05,2/7/2014,14:24:05,2.34,10.00,59.50,939.32,230
2/7/2014 14:24:35,2/7/2014,14:24:35,3.26,9.75,59.79,939.33,221
2/7/2014 14:25:05,2/7/2014,14:25:05,3.83,9.55,59.59,939.30,240
2/7/2014 14:25:35,2/7/2014,14:25:35,3.42,9.44,61.00,939.33,243
2/7/2014 14:26:05,2/7/2014,14:26:05,2.91,9.35,60.90,939.35,240
2/7/2014 14:26:35,2/7/2014,14:26:35,2.56,9.25,61.90,939.36,239
2/7/2014 14:27:05,2/7/2014,14:27:05,3.15,9.07,61.70,939.40,246
2/7/2014 14:27:35,2/7/2014,14:27:35,2.97,8.97,63.40,939.42,242
2/7/2014 14:28:05,2/7/2014,14:28:05,2.09,8.97,63.29,939.41,244
2/7/2014 14:28:35,2/7/2014,14:28:35,2.48,8.87,63.20,939.39,221
2/7/2014 14:29:05,2/7/2014,14:29:05,2.83,8.80,63.90,939.42,233
2/7/2014 14:29:35,2/7/2014,14:29:35,3.27,8.69,63.59,939.41,250
2/7/2014 14:30:05,2/7/2014,14:30:05,2.97,8.64,63.59,939.42,249
2/7/2014 14:30:35,2/7/2014,14:30:35,1.93,8.64,64.80,939.43,230
2/7/2014 14:31:05,2/7/2014,14:31:05,1.44,8.69,66.19,939.47,241
2/7/2014 14:31:35,2/7/2014,14:31:35,2.13,8.87,64.50,939.43,238
2/7/2014 14:32:05,2/7/2014,14:32:05,2.33,9.39,62.40,939.36,245
2/7/2014 14:32:35,2/7/2014,14:32:35,1.40,10.07,62.29,939.35,250
2/7/2014 14:33:05,2/7/2014,14:33:05,2.04,10.27,60.90,939.30,264
2/7/2014 14:33:35,2/7/2014,14:33:35,1.55,10.69,60.70,939.23,246
2/7/2014 14:34:05,2/7/2014,14:34:05,1.73,11.10,58.09,939.21,241
2/7/2014 14:34:35,2/7/2014,14:34:35,1.70,11.42,56.70,939.17,259
2/7/2014 14:35:05,2/7/2014,14:35:05,0.99,12.12,56.50,939.13,233
2/7/2014 14:35:35,2/7/2014,14:35:35,1.11,12.52,55.59,939.05,227
2/7/2014 14:36:05,2/7/2014,14:36:05,1.56,12.85,54.09,939.01,250
2/7/2014 14:36:35,2/7/2014,14:36:35,1.86,12.75,53.59,938.97,245
2/7/2014 14:37:05,2/7/2014,14:37:05,1.51,13.19,53.29,938.96,255
2/7/2014 14:37:35,2/7/2014,14:37:35,1.86,13.27,50.90,938.95,252
2/7/2014 14:38:05,2/7/2014,14:38:05,1.37,13.77,50.90,938.93,254
2/7/2014 14:38:35,2/7/2014,14:38:35,1.09,14.10,51.29,938.93,240
