DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[DD/MM/YYYY hh:mm:ss],[DD/MM/YYYY],[HH:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
11/4/2013 15:48:00,11/4/2013,15:48:00,0.00,10.22,59.59,943.29,328
11/4/2013 15:48:30,11/4/2013,15:48:30,0.00,10.30,59.00,943.30,299
11/4/2013 15:49:00,11/4/2013,15:49:00,0.00,10.55,59.40,943.31,300
11/4/2013 15:49:30,11/4/2013,15:49:30,0.00,10.55,58.09,943.27,271
11/4/2013 15:50:00,11/4/2013,15:50:00,0.00,10.39,56.59,943.31,289
11/4/2013 15:50:30,11/4/2013,15:50:30,0.00,10.30,58.09,943.31,340
11/4/2013 15:51:00,11/4/2013,15:51:00,0.00,10.35,57.09,943.31,238
11/4/2013 15:51:30,11/4/2013,15:51:30,0.00,10.14,57.29,943.34,274
11/4/2013 15:52:00,11/4/2013,15:52:00,0.00,10.02,57.79,943.34,292
11/4/2013 15:52:30,11/4/2013,15:52:30,0.00,9.87,58.09,943.38,270
11/4/2013 15:53:00,11/4/2013,15:53:00,0.00,9.80,58.00,943.38,272
11/4/2013 15:53:30,11/4/2013,15:53:30,0.00,9.75,59.20,943.40,318
11/4/2013 15:54:00,11/4/2013,15:54:00,0.00,9.64,58.79,943.42,302
11/4/2013 15:54:30,11/4/2013,15:54:30,0.00,9.60,60.40,943.44,295
11/4/2013 15:55:00,11/4/2013,15:55:00,0.00,9.52,60.09,943.43,300
11/4/2013 15:55:30,11/4/2013,15:55:30,0.00,9.52,59.29,943.45,300
11/4/2013 15:56:00,11/4/2013,15:56:00,0.00,9.44,59.40,943.46,275
11/4/2013 15:56:30,11/4/2013,15:56:30,0.00,9.44,60.20,943.47,278
11/4/2013 15:57:00,11/4/2013,15:57:00,0.00,9.44,59.40,943.49,292
11/4/2013 15:57:30,11/4/2013,15:57:30,0.00,9.39,58.70,943.49,299
11/4/2013 15:58:00,11/4/2013,15:58:00,0.00,9.27,58.59,943.53,334
11/4/2013 15:58:30,11/4/2013,15:58:30,0.00,9.27,59.90,943.52,213
11/4/2013 15:59:00,11/4/2013,15:59:00,0.24,9.19,59.59,943.46,231
11/4/2013 15:59:30,11/4/2013,15:59:30,0.00,9.17,60.09,943.48,340
11/4/2013 16:00:00,11/4/2013,16:00:00,0.37,9.17,58.79,943.49,248
11/4/2013 16:00:30,11/4/2013,16:00:30,0.47,9.19,58.50,943.46,308
11/4/2013 16:01:00,11/4/2013,16:01:00,0.16,9.17,60.09,943.47,314
11/4/2013 16:01:30,11/4/2013,16:01:30,0.00,9.12,59.20,943.49,290
11/4/2013 16:02:00,11/4/2013,16:02:00,0.00,9.12,60.59,943.48,228
11/4/2013 16:02:30,11/4/2013,16:02:30,0.00,9.05,60.20,943.46,285
11/4/2013 16:03:00,11/4/2013,16:03:00,0.00,9.00,59.79,943.40,290
11/4/2013 16:03:30,11/4/2013,16:03:30,0.00,9.05,60.90,943.43,52
11/4/2013 16:04:00,11/4/2013,16:04:00,0.00,8.97,60.20,943.45,286
11/4/2013 16:04:30,11/4/2013,16:04:30,0.00,8.92,60.09,943.45,302
11/4/2013 16:05:00,11/4/2013,16:05:00,0.00,8.92,60.50,943.46,297
11/4/2013 16:05:30,11/4/2013,16:05:30,0.00,8.87,60.90,943.45,265
11/4/2013 16:06:00,11/4/2013,16:06:00,0.00,8.87,61.09,943.44,217
11/4/2013 16:06:30,11/4/2013,16:06:30,0.00,8.87,60.59,943.43,183
11/4/2013 16:07:00,11/4/2013,16:07:00,0.00,8.80,61.09,943.45,282
11/4/2013 16:07:30,11/4/2013,16:07:30,0.00,8.80,59.90,943.46,18
11/4/2013 16:08:00,11/4/2013,16:08:00,0.00,8.69,60.50,943.46,320
11/4/2013 16:08:30,11/4/2013,16:08:30,0.00,8.64,61.79,943.48,244
11/4/2013 16:09:00,11/4/2013,16:09:00,0.00,8.57,61.50,943.51,298
11/4/2013 16:09:30,11/4/2013,16:09:30,0.00,8.60,61.50,943.51,172
11/4/2013 16:10:00,11/4/2013,16:10:00,0.00,8.57,61.79,943.49,164
11/4/2013 16:10:30,11/4/2013,16:10:30,0.00,8.44,61.29,943.49,343
11/4/2013 16:11:00,11/4/2013,16:11:00,0.00,8.44,62.20,943.52,302
11/4/2013 16:11:30,11/4/2013,16:11:30,0.00,8.39,62.50,943.53,299
11/4/2013 16:12:00,11/4/2013,16:12:00,0.00,8.25,62.09,943.53,336
11/4/2013 16:12:30,11/4/2013,16:12:30,0.00,8.25,62.40,943.52,2
11/4/2013 16:13:00,11/4/2013,16:13:00,0.00,8.25,62.90,943.52,68
11/4/2013 16:13:30,11/4/2013,16:13:30,0.00,8.22,62.20,943.49,67
11/4/2013 16:14:00,11/4/2013,16:14:00,0.00,8.17,62.09,943.51,61
11/4/2013 16:14:30,11/4/2013,16:14:30,0.00,8.10,62.40,943.53,0
11/4/2013 16:15:00,11/4/2013,16:15:00,0.00,8.12,62.50,943.49,300
11/4/2013 16:15:30,11/4/2013,16:15:30,0.00,8.05,63.20,943.51,98
11/4/2013 16:16:00,11/4/2013,16:16:00,0.00,8.02,63.29,943.51,98
11/4/2013 16:16:30,11/4/2013,16:16:30,0.00,8.02,63.09,943.53,165
11/4/2013 16:17:00,11/4/2013,16:17:00,0.00,7.92,63.79,943.54,183
11/4/2013 16:17:30,11/4/2013,16:17:30,0.00,7.92,63.40,943.57,182
11/4/2013 16:18:00,11/4/2013,16:18:00,0.00,7.84,63.59,943.60,274
11/4/2013 16:18:30,11/4/2013,16:18:30,0.00,7.84,63.59,943.60,279
11/4/2013 16:19:00,11/4/2013,16:19:00,0.00,7.82,65.00,943.62,142
11/4/2013 16:19:30,11/4/2013,16:19:30,0.00,7.77,64.80,943.65,203
11/4/2013 16:20:00,11/4/2013,16:20:00,0.00,7.75,64.59,943.65,255
11/4/2013 16:20:30,11/4/2013,16:20:30,0.00,7.69,63.90,943.68,245
11/4/2013 16:21:00,11/4/2013,16:21:00,0.00,7.65,64.09,943.69,337
11/4/2013 16:21:30,11/4/2013,16:21:30,0.00,7.62,64.69,943.70,190
11/4/2013 16:22:00,11/4/2013,16:22:00,0.00,7.62,64.50,943.71,263
11/4/2013 16:22:30,11/4/2013,16:22:30,0.00,7.62,65.00,943.71,235
11/4/2013 16:23:00,11/4/2013,16:23:00,0.00,7.57,65.09,943.71,243
11/4/2013 16:23:30,11/4/2013,16:23:30,0.00,7.57,65.69,943.70,201
11/4/2013 16:24:00,11/4/2013,16:24:00,0.00,7.55,65.19,943.70,243
11/4/2013 16:24:30,11/4/2013,16:24:30,0.00,7.55,66.09,943.71,165
11/4/2013 16:25:00,11/4/2013,16:25:00,0.00,7.55,66.09,943.74,237
11/4/2013 16:25:30,11/4/2013,16:25:30,0.00,7.55,64.50,943.74,221
11/4/2013 16:26:00,11/4/2013,16:26:00,0.00,7.55,64.40,943.76,179
11/4/2013 16:26:30,11/4/2013,16:26:30,0.00,7.55,64.59,943.76,190
11/4/2013 16:27:00,11/4/2013,16:27:00,0.00,7.55,65.09,943.77,178
11/4/2013 16:27:30,11/4/2013,16:27:30,0.00,7.62,64.09,943.78,200
11/4/2013 16:28:00,11/4/2013,16:28:00,0.00,7.62,64.40,943.78,210
11/4/2013 16:28:30,11/4/2013,16:28:30,0.00,7.62,64.19,943.79,200
11/4/2013 16:29:00,11/4/2013,16:29:00,0.00,7.62,64.50,943.80,159
11/4/2013 16:29:30,11/4/2013,16:29:30,0.00,7.62,65.59,943.80,203
11/4/2013 16:30:00,11/4/2013,16:30:00,0.00,7.55,65.19,943.80,268
11/4/2013 16:30:30,11/4/2013,16:30:30,0.00,7.55,65.19,943.79,185
11/4/2013 16:31:00,11/4/2013,16:31:00,0.00,7.55,65.09,943.78,159
11/4/2013 16:31:30,11/4/2013,16:31:30,0.00,7.50,66.69,943.78,191
11/4/2013 16:32:00,11/4/2013,16:32:00,0.00,7.50,65.19,943.79,346
11/4/2013 16:32:30,11/4/2013,16:32:30,0.00,7.47,65.09,943.80,70
11/4/2013 16:33:00,11/4/2013,16:33:00,0.00,7.47,65.50,943.81,152
11/4/2013 16:33:30,11/4/2013,16:33:30,0.00,7.37,65.40,943.80,195
11/4/2013 16:34:00,11/4/2013,16:34:00,0.00,7.42,65.30,943.82,180
11/4/2013 16:34:30,11/4/2013,16:34:30,0.00,7.55,67.40,943.80,287
11/4/2013 16:35:00,11/4/2013,16:35:00,0.00,7.55,67.30,943.81,238
11/4/2013 16:35:30,11/4/2013,16:35:30,0.00,7.50,67.69,943.77,257
11/4/2013 16:36:00,11/4/2013,16:36:00,0.00,7.47,67.50,943.78,20
11/4/2013 16:36:30,11/4/2013,16:36:30,0.00,7.37,66.19,943.80,275
11/4/2013 16:37:00,11/4/2013,16:37:00,0.00,7.30,65.09,943.82,303
11/4/2013 16:37:30,11/4/2013,16:37:30,0.00,7.37,63.79,943.80,239
11/4/2013 16:38:00,11/4/2013,16:38:00,0.00,7.34,64.90,943.81,254
11/4/2013 16:38:30,11/4/2013,16:38:30,0.00,7.30,64.80,943.81,2
11/4/2013 16:39:00,11/4/2013,16:39:00,0.00,7.22,65.09,943.84,313
11/4/2013 16:39:30,11/4/2013,16:39:30,0.00,7.22,66.19,943.81,208
11/4/2013 16:40:00,11/4/2013,16:40:00,0.00,7.30,65.59,943.81,157
11/4/2013 16:40:30,11/4/2013,16:40:30,0.00,7.22,66.50,943.81,210
11/4/2013 16:41:00,11/4/2013,16:41:00,0.00,7.22,63.79,943.82,286
11/4/2013 16:41:30,11/4/2013,16:41:30,0.00,7.22,64.80,943.84,249
11/4/2013 16:42:00,11/4/2013,16:42:00,0.00,7.17,65.40,943.85,145
11/4/2013 16:42:30,11/4/2013,16:42:30,0.00,7.15,66.19,943.85,78
11/4/2013 16:43:00,11/4/2013,16:43:00,0.00,7.09,66.30,943.84,152
11/4/2013 16:43:30,11/4/2013,16:43:30,0.00,7.07,65.40,943.85,227
11/4/2013 16:44:00,11/4/2013,16:44:00,0.00,7.07,65.30,943.85,229
11/4/2013 16:44:30,11/4/2013,16:44:30,0.00,7.07,66.50,943.84,226
11/4/2013 16:45:00,11/4/2013,16:45:00,0.00,7.00,67.00,943.85,227
11/4/2013 16:45:30,11/4/2013,16:45:30,0.00,7.00,66.19,943.85,182
11/4/2013 16:46:00,11/4/2013,16:46:00,0.00,7.00,64.50,943.85,229
11/4/2013 16:46:30,11/4/2013,16:46:30,0.00,7.00,65.59,943.85,230
11/4/2013 16:47:00,11/4/2013,16:47:00,0.00,6.90,67.09,943.84,223
11/4/2013 16:47:30,11/4/2013,16:47:30,0.00,6.90,65.90,943.84,59
11/4/2013 16:48:00,11/4/2013,16:48:00,0.00,6.90,66.30,943.81,229
11/4/2013 16:48:30,11/4/2013,16:48:30,0.00,7.00,63.70,943.82,199
11/4/2013 16:49:00,11/4/2013,16:49:00,0.00,6.87,65.80,943.84,113
11/4/2013 16:49:30,11/4/2013,16:49:30,0.00,6.87,66.30,943.85,290
11/4/2013 16:50:00,11/4/2013,16:50:00,0.00,6.82,67.00,943.86,96
11/4/2013 16:50:30,11/4/2013,16:50:30,0.00,6.75,64.59,943.88,121
11/4/2013 16:51:00,11/4/2013,16:51:00,0.00,6.67,63.70,943.89,92
11/4/2013 16:51:30,11/4/2013,16:51:30,0.00,6.62,64.09,943.90,71
11/4/2013 16:52:00,11/4/2013,16:52:00,0.00,6.59,65.19,943.91,62
11/4/2013 16:52:30,11/4/2013,16:52:30,0.00,6.59,66.40,943.94,60
11/4/2013 16:53:00,11/4/2013,16:53:00,0.00,6.52,66.09,943.95,86
11/4/2013 16:53:30,11/4/2013,16:53:30,0.00,6.52,65.50,943.95,130
11/4/2013 16:54:00,11/4/2013,16:54:00,0.00,6.47,65.09,943.97,55
11/4/2013 16:54:30,11/4/2013,16:54:30,0.00,6.42,65.09,943.97,112
11/4/2013 16:55:00,11/4/2013,16:55:00,0.00,6.42,66.09,943.97,55
11/4/2013 16:55:30,11/4/2013,16:55:30,0.00,6.40,66.30,943.96,55
11/4/2013 16:56:00,11/4/2013,16:56:00,0.00,6.34,66.59,943.98,60
11/4/2013 16:56:30,11/4/2013,16:56:30,0.00,6.34,66.69,944.01,59
11/4/2013 16:57:00,11/4/2013,16:57:00,0.00,6.27,66.80,944.02,59
11/4/2013 16:57:30,11/4/2013,16:57:30,0.00,6.27,67.19,944.06,18
11/4/2013 16:58:00,11/4/2013,16:58:00,0.00,6.19,67.50,944.06,14
