DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[HH:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
5/4/2013 09:53:22,5/4/2013,09:53:22,0.00,21.82,45.20,958.25,172
5/4/2013 09:53:37,5/4/2013,09:53:37,0.00,21.75,45.40,958.25,173
5/4/2013 09:53:52,5/4/2013,09:53:52,0.00,21.67,45.50,958.24,174
5/4/2013 09:54:07,5/4/2013,09:54:07,0.00,21.57,45.70,958.25,173
5/4/2013 09:54:22,5/4/2013,09:54:22,0.00,21.50,45.90,958.26,173
5/4/2013 09:54:37,5/4/2013,09:54:37,0.00,21.39,46.00,958.26,171
5/4/2013 09:54:52,5/4/2013,09:54:52,0.00,21.35,46.20,958.26,172
5/4/2013 09:55:07,5/4/2013,09:55:07,0.00,21.27,46.40,958.26,171
5/4/2013 09:55:22,5/4/2013,09:55:22,0.00,21.20,46.59,958.27,173
5/4/2013 09:55:37,5/4/2013,09:55:37,0.00,21.14,46.79,958.26,179
5/4/2013 09:55:52,5/4/2013,09:55:52,0.00,21.07,46.90,958.25,179
5/4/2013 09:56:07,5/4/2013,09:56:07,0.00,21.02,47.09,958.26,176
5/4/2013 09:56:22,5/4/2013,09:56:22,0.00,20.95,47.40,958.28,175
5/4/2013 09:56:37,5/4/2013,09:56:37,0.00,20.92,47.59,958.28,175
5/4/2013 09:56:52,5/4/2013,09:56:52,0.00,20.87,47.70,958.27,175
5/4/2013 09:57:07,5/4/2013,09:57:07,0.00,20.79,47.70,958.29,175
5/4/2013 09:57:22,5/4/2013,09:57:22,0.00,20.75,47.79,958.29,175
5/4/2013 09:57:37,5/4/2013,09:57:37,0.00,20.72,47.90,958.32,175
5/4/2013 09:57:52,5/4/2013,09:57:52,0.00,20.67,48.00,958.33,174
5/4/2013 09:58:07,5/4/2013,09:58:07,0.00,20.64,48.09,958.38,177
5/4/2013 09:58:22,5/4/2013,09:58:22,0.00,20.60,48.50,958.34,197
5/4/2013 09:58:37,5/4/2013,09:58:37,0.00,20.57,48.50,958.34,197
5/4/2013 09:58:52,5/4/2013,09:58:52,0.00,20.52,48.59,958.35,196
5/4/2013 09:59:07,5/4/2013,09:59:07,0.00,20.47,48.70,958.36,195
5/4/2013 09:59:22,5/4/2013,09:59:22,0.00,20.39,48.79,958.33,195
5/4/2013 09:59:37,5/4/2013,09:59:37,0.00,20.39,48.79,958.33,196
5/4/2013 09:59:52,5/4/2013,09:59:52,0.00,20.32,48.90,958.34,195
5/4/2013 10:00:07,5/4/2013,10:00:07,0.00,20.32,49.09,958.38,196
5/4/2013 10:00:22,5/4/2013,10:00:22,0.00,20.25,49.09,958.40,197
5/4/2013 10:00:37,5/4/2013,10:00:37,0.00,20.20,49.40,958.40,196
5/4/2013 10:00:52,5/4/2013,10:00:52,0.00,20.17,49.50,958.39,195
5/4/2013 10:01:07,5/4/2013,10:01:07,0.00,20.12,49.50,958.36,195
5/4/2013 10:01:22,5/4/2013,10:01:22,0.00,20.10,49.59,958.35,195
5/4/2013 10:01:37,5/4/2013,10:01:37,0.00,20.04,49.70,958.33,195
5/4/2013 10:01:52,5/4/2013,10:01:52,0.00,20.02,49.79,958.34,195
5/4/2013 10:02:07,5/4/2013,10:02:07,0.00,20.02,49.90,958.34,195
5/4/2013 10:02:22,5/4/2013,10:02:22,0.00,19.97,49.90,958.34,194
5/4/2013 10:02:37,5/4/2013,10:02:37,0.00,19.92,50.00,958.34,193
5/4/2013 10:02:52,5/4/2013,10:02:52,0.00,19.89,50.09,958.35,193
5/4/2013 10:03:07,5/4/2013,10:03:07,0.00,19.85,50.09,958.34,192
5/4/2013 10:03:22,5/4/2013,10:03:22,0.00,19.85,50.29,958.36,192
5/4/2013 10:03:37,5/4/2013,10:03:37,0.00,19.82,50.29,958.40,192
5/4/2013 10:03:52,5/4/2013,10:03:52,0.00,19.77,50.50,958.38,193
5/4/2013 10:04:07,5/4/2013,10:04:07,0.00,19.75,50.70,958.40,193
5/4/2013 10:04:22,5/4/2013,10:04:22,0.00,19.70,50.79,958.38,192
5/4/2013 10:04:37,5/4/2013,10:04:37,0.00,19.64,51.09,958.39,193
5/4/2013 10:04:52,5/4/2013,10:04:52,0.00,19.62,51.09,958.41,193
5/4/2013 10:05:07,5/4/2013,10:05:07,0.00,19.57,51.20,958.38,180
5/4/2013 10:05:22,5/4/2013,10:05:22,0.00,19.54,51.09,958.39,179
5/4/2013 10:05:37,5/4/2013,10:05:37,0.00,19.54,51.20,958.36,179
5/4/2013 10:05:52,5/4/2013,10:05:52,0.00,19.50,51.29,958.38,179
5/4/2013 10:06:07,5/4/2013,10:06:07,0.00,19.50,51.40,958.39,179
5/4/2013 10:06:22,5/4/2013,10:06:22,0.00,19.50,51.50,958.41,179
5/4/2013 10:06:37,5/4/2013,10:06:37,0.00,19.45,51.79,958.42,178
5/4/2013 10:06:52,5/4/2013,10:06:52,0.00,19.45,51.79,958.44,179
5/4/2013 10:07:07,5/4/2013,10:07:07,0.00,19.42,52.00,958.44,178
5/4/2013 10:07:22,5/4/2013,10:07:22,0.00,19.37,52.20,958.43,179
5/4/2013 10:07:37,5/4/2013,10:07:37,0.00,19.37,52.29,958.43,178
5/4/2013 10:07:52,5/4/2013,10:07:52,0.00,19.37,52.59,958.44,179
5/4/2013 10:08:07,5/4/2013,10:08:07,0.00,19.35,52.70,958.44,179
5/4/2013 10:08:22,5/4/2013,10:08:22,0.00,19.35,52.90,958.46,178
5/4/2013 10:08:37,5/4/2013,10:08:37,0.00,19.29,53.00,958.47,177
5/4/2013 10:08:52,5/4/2013,10:08:52,0.00,19.29,53.00,958.47,177
5/4/2013 10:09:07,5/4/2013,10:09:07,0.00,19.29,53.09,958.47,177
5/4/2013 10:09:22,5/4/2013,10:09:22,0.00,19.29,53.20,958.50,177
5/4/2013 10:09:37,5/4/2013,10:09:37,0.00,19.27,53.29,958.48,177
5/4/2013 10:09:52,5/4/2013,10:09:52,0.00,19.27,53.40,958.48,177
5/4/2013 10:10:07,5/4/2013,10:10:07,0.00,19.27,53.50,958.44,177
5/4/2013 10:10:22,5/4/2013,10:10:22,0.00,19.22,53.50,958.47,177
5/4/2013 10:10:37,5/4/2013,10:10:37,0.00,19.17,53.50,958.46,177
5/4/2013 10:10:52,5/4/2013,10:10:52,0.00,19.17,53.59,958.44,--
5/4/2013 10:11:07,5/4/2013,10:11:07,0.00,19.14,53.59,958.47,--
5/4/2013 10:11:22,5/4/2013,10:11:22,0.00,19.14,53.70,958.44,--
5/4/2013 10:11:37,5/4/2013,10:11:37,0.00,19.14,53.90,958.44,--
5/4/2013 10:11:52,5/4/2013,10:11:52,0.00,19.14,53.79,958.44,--
5/4/2013 10:12:07,5/4/2013,10:12:07,0.00,19.14,53.90,958.48,--
5/4/2013 10:12:22,5/4/2013,10:12:22,0.00,19.10,53.90,958.47,--
5/4/2013 10:12:37,5/4/2013,10:12:37,0.00,19.10,54.00,958.46,--
5/4/2013 10:12:52,5/4/2013,10:12:52,0.00,19.07,54.20,958.44,--
5/4/2013 10:13:07,5/4/2013,10:13:07,0.00,19.07,54.29,958.44,--
5/4/2013 10:13:22,5/4/2013,10:13:22,0.00,19.07,54.40,958.42,--
5/4/2013 10:13:37,5/4/2013,10:13:37,0.00,19.07,54.50,958.42,--
5/4/2013 10:13:52,5/4/2013,10:13:52,0.00,19.07,55.09,958.44,--
5/4/2013 10:14:07,5/4/2013,10:14:07,0.00,19.02,55.29,958.42,--
5/4/2013 10:14:22,5/4/2013,10:14:22,0.00,19.02,55.09,958.41,--
5/4/2013 10:14:37,5/4/2013,10:14:37,0.00,19.02,54.90,958.41,--
5/4/2013 10:14:52,5/4/2013,10:14:52,0.00,19.02,54.90,958.41,--
5/4/2013 10:15:07,5/4/2013,10:15:07,0.00,19.00,54.90,958.41,--
5/4/2013 10:15:22,5/4/2013,10:15:22,0.00,19.02,54.90,958.39,--
5/4/2013 10:15:37,5/4/2013,10:15:37,0.00,19.02,54.90,958.39,--
5/4/2013 10:15:52,5/4/2013,10:15:52,0.00,19.00,55.09,958.40,--
5/4/2013 10:16:07,5/4/2013,10:16:07,0.00,19.00,55.09,958.39,--
5/4/2013 10:16:22,5/4/2013,10:16:22,0.00,19.00,55.59,958.39,--
5/4/2013 10:16:37,5/4/2013,10:16:37,0.00,19.00,55.50,958.41,--
5/4/2013 10:16:52,5/4/2013,10:16:52,0.00,19.00,55.29,958.40,--
5/4/2013 10:17:07,5/4/2013,10:17:07,0.00,19.00,55.29,958.42,--
5/4/2013 10:17:22,5/4/2013,10:17:22,0.00,19.00,55.40,958.42,--
5/4/2013 10:17:37,5/4/2013,10:17:37,0.00,19.00,55.40,958.39,--
5/4/2013 10:17:52,5/4/2013,10:17:52,0.00,19.00,55.50,958.41,--
5/4/2013 10:18:07,5/4/2013,10:18:07,0.00,19.00,55.59,958.41,--
5/4/2013 10:18:22,5/4/2013,10:18:22,0.00,18.95,55.59,958.40,--
5/4/2013 10:18:37,5/4/2013,10:18:37,0.00,18.95,55.70,958.40,--
5/4/2013 10:18:52,5/4/2013,10:18:52,0.00,18.89,55.70,958.40,--
5/4/2013 10:19:07,5/4/2013,10:19:07,0.00,18.95,55.70,958.38,--
5/4/2013 10:19:22,5/4/2013,10:19:22,0.00,18.89,55.70,958.39,--
5/4/2013 10:19:37,5/4/2013,10:19:37,0.00,18.89,55.59,958.41,--
5/4/2013 10:19:52,5/4/2013,10:19:52,0.00,18.89,55.70,958.39,--
5/4/2013 10:20:07,5/4/2013,10:20:07,0.00,18.89,55.79,958.39,--
5/4/2013 10:20:22,5/4/2013,10:20:22,0.00,18.89,55.79,958.40,--
5/4/2013 10:20:37,5/4/2013,10:20:37,0.00,18.89,55.79,958.40,--
5/4/2013 10:20:52,5/4/2013,10:20:52,0.00,18.89,55.79,958.40,--
5/4/2013 10:21:07,5/4/2013,10:21:07,0.00,18.89,55.79,958.42,--
5/4/2013 10:21:22,5/4/2013,10:21:22,0.00,18.89,55.90,958.41,--
5/4/2013 10:21:37,5/4/2013,10:21:37,0.00,18.89,56.09,958.42,--
5/4/2013 10:21:52,5/4/2013,10:21:52,0.00,18.89,56.20,958.43,--
5/4/2013 10:22:07,5/4/2013,10:22:07,0.00,18.87,56.29,958.46,--
5/4/2013 10:22:22,5/4/2013,10:22:22,0.00,18.89,56.20,958.46,--
5/4/2013 10:22:37,5/4/2013,10:22:37,0.00,18.87,56.20,958.47,--
5/4/2013 10:22:52,5/4/2013,10:22:52,0.00,18.87,56.20,958.47,--
5/4/2013 10:23:07,5/4/2013,10:23:07,0.00,18.82,56.20,958.46,--
5/4/2013 10:23:22,5/4/2013,10:23:22,0.00,18.82,56.20,958.43,--
5/4/2013 10:23:37,5/4/2013,10:23:37,0.00,18.82,56.20,958.40,--
5/4/2013 10:23:52,5/4/2013,10:23:52,0.00,18.82,56.50,958.40,--
5/4/2013 10:24:07,5/4/2013,10:24:07,0.00,18.82,56.70,958.40,--
5/4/2013 10:24:22,5/4/2013,10:24:22,0.00,18.82,56.59,958.40,--
5/4/2013 10:24:37,5/4/2013,10:24:37,0.00,18.82,56.59,958.41,--
5/4/2013 10:24:52,5/4/2013,10:24:52,0.00,18.82,56.59,958.41,--
5/4/2013 10:25:07,5/4/2013,10:25:07,0.00,18.82,56.70,958.41,--
5/4/2013 10:25:22,5/4/2013,10:25:22,0.00,18.79,56.70,958.39,--
5/4/2013 10:25:37,5/4/2013,10:25:37,0.00,18.82,56.70,958.36,--
5/4/2013 10:25:52,5/4/2013,10:25:52,0.00,18.82,56.59,958.34,--
5/4/2013 10:26:07,5/4/2013,10:26:07,0.00,18.79,56.59,958.34,--
5/4/2013 10:26:22,5/4/2013,10:26:22,0.00,18.82,56.59,958.34,--
5/4/2013 10:26:37,5/4/2013,10:26:37,0.00,18.79,56.70,958.34,--
5/4/2013 10:26:52,5/4/2013,10:26:52,0.00,18.82,56.70,958.34,--
5/4/2013 10:27:07,5/4/2013,10:27:07,0.00,18.79,56.70,958.34,--
5/4/2013 10:27:22,5/4/2013,10:27:22,0.00,18.79,56.70,958.34,--
5/4/2013 10:27:37,5/4/2013,10:27:37,0.00,18.79,56.70,958.33,--
5/4/2013 10:27:52,5/4/2013,10:27:52,0.00,18.79,56.70,958.34,--
5/4/2013 10:28:07,5/4/2013,10:28:07,0.00,18.82,56.70,958.34,--
5/4/2013 10:28:22,5/4/2013,10:28:22,0.00,18.79,56.70,958.32,--
5/4/2013 10:28:37,5/4/2013,10:28:37,0.00,18.79,56.70,958.29,--
5/4/2013 10:28:52,5/4/2013,10:28:52,0.00,18.79,56.79,958.28,--
5/4/2013 10:29:07,5/4/2013,10:29:07,0.00,18.75,56.90,958.28,--
5/4/2013 10:29:22,5/4/2013,10:29:22,0.00,18.79,57.00,958.31,--
5/4/2013 10:29:37,5/4/2013,10:29:37,0.00,18.75,57.00,958.32,--
5/4/2013 10:29:52,5/4/2013,10:29:52,0.00,18.75,57.00,958.31,--
5/4/2013 10:30:07,5/4/2013,10:30:07,0.00,18.75,57.09,958.32,--
5/4/2013 10:30:22,5/4/2013,10:30:22,0.00,18.75,57.09,958.34,--
5/4/2013 10:30:37,5/4/2013,10:30:37,0.00,18.75,57.09,958.34,--
5/4/2013 10:30:52,5/4/2013,10:30:52,0.00,18.75,57.20,958.34,--
5/4/2013 10:31:07,5/4/2013,10:31:07,0.00,18.75,57.29,958.34,--
5/4/2013 10:31:22,5/4/2013,10:31:22,0.00,18.75,57.20,958.32,--
5/4/2013 10:31:37,5/4/2013,10:31:37,0.00,18.75,57.20,958.33,--
5/4/2013 10:31:52,5/4/2013,10:31:52,0.00,18.75,57.29,958.32,--
5/4/2013 10:32:07,5/4/2013,10:32:07,0.00,18.75,57.40,958.31,--
5/4/2013 10:32:22,5/4/2013,10:32:22,0.00,18.75,57.40,958.28,--
5/4/2013 10:32:37,5/4/2013,10:32:37,0.00,18.72,57.29,958.29,--
5/4/2013 10:32:52,5/4/2013,10:32:52,0.00,18.75,57.40,958.28,--
5/4/2013 10:33:07,5/4/2013,10:33:07,0.00,18.72,57.40,958.28,--
5/4/2013 10:33:22,5/4/2013,10:33:22,0.00,18.75,57.50,958.28,--
5/4/2013 10:33:37,5/4/2013,10:33:37,0.00,18.72,57.50,958.31,--
5/4/2013 10:33:52,5/4/2013,10:33:52,0.00,18.75,57.50,958.31,--
5/4/2013 10:34:07,5/4/2013,10:34:07,0.00,18.72,57.50,958.31,--
5/4/2013 10:34:22,5/4/2013,10:34:22,0.00,18.72,57.50,958.29,--
5/4/2013 10:34:37,5/4/2013,10:34:37,0.00,18.72,57.59,958.31,--
