DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
8/2/2013 13:25:11,8/2/2013,13:25:11,0.23,20.60,72.19,952.49,184
8/2/2013 13:25:26,8/2/2013,13:25:26,0.00,20.64,73.00,952.54,205
8/2/2013 13:25:41,8/2/2013,13:25:41,0.00,20.64,72.80,952.57,215
8/2/2013 13:25:56,8/2/2013,13:25:56,0.00,20.64,72.19,952.58,215
8/2/2013 13:26:11,8/2/2013,13:26:11,0.00,20.64,70.90,952.60,216
8/2/2013 13:26:26,8/2/2013,13:26:26,0.00,20.64,71.19,952.60,216
8/2/2013 13:26:41,8/2/2013,13:26:41,0.00,20.64,72.00,952.60,212
8/2/2013 13:26:56,8/2/2013,13:26:56,0.00,20.64,72.00,952.62,209
8/2/2013 13:27:11,8/2/2013,13:27:11,0.00,20.67,72.40,952.64,205
8/2/2013 13:27:26,8/2/2013,13:27:26,0.00,20.72,73.09,952.64,202
8/2/2013 13:27:41,8/2/2013,13:27:41,0.00,20.67,74.30,952.66,199
8/2/2013 13:27:56,8/2/2013,13:27:56,0.00,20.67,75.00,952.68,196
8/2/2013 13:28:11,8/2/2013,13:28:11,0.00,20.67,73.59,952.68,150
8/2/2013 13:28:26,8/2/2013,13:28:26,0.00,20.67,74.00,952.68,351
8/2/2013 13:28:41,8/2/2013,13:28:41,0.00,20.64,74.00,952.69,237
8/2/2013 13:28:56,8/2/2013,13:28:56,0.00,20.64,74.00,952.69,181
8/2/2013 13:29:11,8/2/2013,13:29:11,0.00,20.60,74.00,952.70,181
8/2/2013 13:29:26,8/2/2013,13:29:26,0.00,20.64,74.19,952.70,205
8/2/2013 13:29:41,8/2/2013,13:29:41,0.00,20.64,73.30,952.70,213
8/2/2013 13:29:56,8/2/2013,13:29:56,0.00,20.60,71.30,952.72,213
8/2/2013 13:30:11,8/2/2013,13:30:11,0.00,20.60,71.00,952.70,212
8/2/2013 13:30:26,8/2/2013,13:30:26,0.00,20.64,71.00,952.70,212
