DateTime,Date,Time,Wind,Temperature,Humidity,Pressure,Direction
[MM/DD/YYYY hh:mm:ss],[MM/DD/YYYY],[hh:mm:ss],[m/s],[¡C],[%rH],[hPa],[¡N]
1/30/2014 14:32:22,1/30/2014,14:32:22,0.00,10.77,56.90,946.59,280
1/30/2014 14:32:52,1/30/2014,14:32:52,0.00,11.05,62.29,946.51,330
1/30/2014 14:33:22,1/30/2014,14:33:22,0.00,10.94,60.70,946.54,72
1/30/2014 14:33:52,1/30/2014,14:33:52,0.00,10.50,60.40,946.57,101
1/30/2014 14:34:22,1/30/2014,14:34:22,0.00,9.52,60.90,946.62,17
1/30/2014 14:34:52,1/30/2014,14:34:52,0.00,9.25,61.70,946.64,28
1/30/2014 14:35:22,1/30/2014,14:35:22,0.00,9.12,61.59,946.67,303
1/30/2014 14:35:52,1/30/2014,14:35:52,0.00,8.32,61.70,946.72,64
1/30/2014 14:36:22,1/30/2014,14:36:22,0.00,8.39,61.50,946.72,319
1/30/2014 14:36:52,1/30/2014,14:36:52,0.00,7.62,61.50,946.77,340
1/30/2014 14:37:22,1/30/2014,14:37:22,0.00,7.55,60.59,946.78,328
1/30/2014 14:37:52,1/30/2014,14:37:52,0.00,7.17,60.29,946.79,320
1/30/2014 14:38:22,1/30/2014,14:38:22,0.00,6.80,60.50,946.82,336
1/30/2014 14:38:52,1/30/2014,14:38:52,0.00,6.52,59.00,946.84,309
1/30/2014 14:39:22,1/30/2014,14:39:22,0.00,6.52,59.09,946.84,340
1/30/2014 14:39:52,1/30/2014,14:39:52,0.00,6.42,59.09,946.89,359
1/30/2014 14:40:22,1/30/2014,14:40:22,0.00,6.27,58.70,946.90,303
1/30/2014 14:40:52,1/30/2014,14:40:52,0.00,6.27,58.40,946.90,64
1/30/2014 14:41:22,1/30/2014,14:41:22,0.00,6.27,58.40,946.88,118
1/30/2014 14:41:52,1/30/2014,14:41:52,0.00,6.27,58.40,946.90,220
1/30/2014 14:42:22,1/30/2014,14:42:22,0.00,5.75,57.90,946.90,28
1/30/2014 14:42:52,1/30/2014,14:42:52,0.00,5.65,57.79,946.91,27
1/30/2014 14:43:22,1/30/2014,14:43:22,0.00,5.57,57.79,946.90,299
1/30/2014 14:43:52,1/30/2014,14:43:52,0.00,5.32,57.40,946.94,329
1/30/2014 14:44:22,1/30/2014,14:44:22,0.00,5.37,58.00,946.95,111
1/30/2014 14:44:52,1/30/2014,14:44:52,0.00,5.07,57.59,946.94,80
1/30/2014 14:45:22,1/30/2014,14:45:22,0.00,5.17,57.79,946.95,19
1/30/2014 14:45:52,1/30/2014,14:45:52,0.00,5.19,57.70,946.94,359
1/30/2014 14:46:22,1/30/2014,14:46:22,0.00,5.25,57.70,946.94,20
1/30/2014 14:46:52,1/30/2014,14:46:52,0.00,5.17,57.59,946.92,23
1/30/2014 14:47:22,1/30/2014,14:47:22,0.00,5.12,57.70,946.94,16
1/30/2014 14:47:52,1/30/2014,14:47:52,0.00,5.07,57.70,946.94,22
1/30/2014 14:48:22,1/30/2014,14:48:22,0.00,5.05,57.70,946.96,23
1/30/2014 14:48:52,1/30/2014,14:48:52,0.00,4.92,57.70,946.96,30
1/30/2014 14:49:22,1/30/2014,14:49:22,0.00,5.00,57.79,946.97,30
1/30/2014 14:49:52,1/30/2014,14:49:52,0.00,4.92,57.50,946.96,313
1/30/2014 14:50:22,1/30/2014,14:50:22,0.00,4.77,58.00,946.96,342
1/30/2014 14:50:52,1/30/2014,14:50:52,0.00,4.72,57.90,946.96,335
1/30/2014 14:51:22,1/30/2014,14:51:22,0.00,4.77,58.00,946.97,347
1/30/2014 14:51:52,1/30/2014,14:51:52,0.00,4.69,58.00,946.97,329
1/30/2014 14:52:22,1/30/2014,14:52:22,0.00,4.52,58.59,946.94,332
1/30/2014 14:52:52,1/30/2014,14:52:52,0.18,4.52,58.40,946.92,347
1/30/2014 14:53:22,1/30/2014,14:53:22,0.00,4.44,58.50,946.94,357
1/30/2014 14:53:52,1/30/2014,14:53:52,0.00,4.50,58.70,946.95,318
1/30/2014 14:54:22,1/30/2014,14:54:22,0.00,4.52,58.70,946.97,349
1/30/2014 14:54:52,1/30/2014,14:54:52,0.00,4.52,58.70,946.97,341
1/30/2014 14:55:22,1/30/2014,14:55:22,0.00,4.52,58.70,946.97,79
1/30/2014 14:55:52,1/30/2014,14:55:52,0.00,4.52,58.70,946.97,343
1/30/2014 14:56:22,1/30/2014,14:56:22,0.00,4.44,58.50,946.99,318
1/30/2014 14:56:52,1/30/2014,14:56:52,0.00,4.44,58.70,947.00,334
1/30/2014 14:57:22,1/30/2014,14:57:22,0.00,4.37,58.50,947.02,313
1/30/2014 14:57:52,1/30/2014,14:57:52,0.00,4.42,58.79,947.00,1
1/30/2014 14:58:22,1/30/2014,14:58:22,0.00,4.37,58.79,947.03,188
1/30/2014 14:58:52,1/30/2014,14:58:52,0.00,4.30,58.70,947.03,323
1/30/2014 14:59:22,1/30/2014,14:59:22,0.68,4.22,58.79,946.98,313
1/30/2014 14:59:52,1/30/2014,14:59:52,0.00,4.25,59.09,947.03,3
1/30/2014 15:00:22,1/30/2014,15:00:22,0.00,4.12,58.79,947.03,270
1/30/2014 15:00:52,1/30/2014,15:00:52,0.00,4.22,59.00,947.04,261
1/30/2014 15:01:22,1/30/2014,15:01:22,0.00,4.22,59.00,947.04,324
1/30/2014 15:01:52,1/30/2014,15:01:52,0.00,4.17,59.00,947.04,340
1/30/2014 15:02:22,1/30/2014,15:02:22,0.00,4.22,59.00,947.06,43
1/30/2014 15:02:52,1/30/2014,15:02:52,0.00,4.22,59.00,947.07,44
1/30/2014 15:03:22,1/30/2014,15:03:22,0.00,4.22,59.09,947.08,44
1/30/2014 15:03:52,1/30/2014,15:03:52,0.00,4.22,59.09,947.07,73
1/30/2014 15:04:22,1/30/2014,15:04:22,0.00,4.12,59.09,947.06,44
1/30/2014 15:04:52,1/30/2014,15:04:52,0.00,4.12,59.09,947.05,50
